노선번호,도로명,이정,X좌표값,Y좌표값,GRS80X좌표값,GRS80Y좌표값
10,경부선,0,35.24657831,129.0932068,390524.2902,296459.9426
10,경부선,0.1,35.24724872,129.0939412,390589.5768,296535.748
10,경부선,0.2,35.24791912,129.0946756,390654.8636,296611.5534
10,경부선,0.3,35.24858951,129.09541,390720.1503,296687.3588
10,경부선,0.4,35.2492599,129.0961445,390785.4371,296763.1641
10,경부선,0.5,35.24993213,129.0968764,390850.4887,296839.1693
10,경부선,0.6,35.25063371,129.0975659,390911.6087,296918.3494
10,경부선,0.7,35.25136507,129.0982081,390968.3468,297000.7447
10,경부선,0.8,35.25209914,129.0988457,391024.6635,297083.4323
10,경부선,0.9,35.25284948,129.0994542,391078.2914,297167.8697
10,경부선,1,35.25362935,129.1000047,391126.5747,297255.473
10,경부선,1.1,35.25443575,129.1004952,391169.3273,297345.9045
10,경부선,1.2,35.25526557,129.1009237,391206.384,297438.8154
10,경부선,1.3,35.2561156,129.1012886,391237.6021,297533.8471
10,경부선,1.4,35.25697659,129.1016137,391265.1686,297630.0182
10,경부선,1.5,35.2578377,129.1019383,391292.6917,297726.2018
10,경부선,1.6,35.25869881,129.102263,391320.2146,297822.3856
10,경부선,1.7,35.25955926,129.1025901,391347.9675,297918.5016
10,경부선,1.8,35.26039759,129.1029924,391382.6119,298012.307
10,경부선,1.9,35.26119672,129.1034996,391426.8981,298101.9654
10,경부선,2,35.26197664,129.1040505,391475.1996,298189.5769
10,경부선,2.1,35.26275656,129.1046013,391523.5013,298277.1884
10,경부선,2.2,35.26354945,129.1051235,391569.1629,298366.1846
10,경부선,2.3,35.26436859,129.1055816,391608.9205,298457.9704
10,경부선,2.4,35.26521052,129.1059734,391642.5986,298552.1567
10,경부선,2.5,35.2660704,129.1063025,391670.529,298648.2136
10,경부선,2.6,35.26693358,129.1066189,391697.2861,298744.6133
10,경부선,2.7,35.26779676,129.1069352,391724.0432,298841.0128
10,경부선,2.8,35.26865995,129.1072516,391750.8002,298937.4123
10,경부선,2.9,35.26952313,129.107568,391777.5573,299033.8119
10,경부선,3,35.27038631,129.1078843,391804.3144,299130.2114
10,경부선,3.1,35.27124948,129.1082007,391831.0714,299226.6109
10,경부선,3.2,35.27211534,129.1085058,391856.7887,299323.2862
10,경부선,3.3,35.2729997,129.1087136,391873.6133,299421.8266
10,경부선,3.4,35.27389925,129.1087653,391876.2015,299521.7504
10,경부선,3.5,35.2747955,129.1086581,391864.3314,299621.0005
10,경부선,3.6,35.27566966,129.1083942,391838.2523,299717.4958
10,경부선,3.7,35.27650774,129.1079911,391799.593,299809.7186
10,경부선,3.8,35.27732673,129.1075322,391755.8962,299899.7145
10,경부선,3.9,35.27814486,129.1070709,391711.9948,299989.6116
10,경부선,4,35.27896299,129.1066097,391668.0934,300079.5087
10,경부선,4.1,35.27978112,129.1061484,391624.192,300169.4056
10,경부선,4.2,35.28059925,129.1056872,391580.2906,300259.3026
10,경부선,4.3,35.28141738,129.1052259,391536.3891,300349.1996
10,경부선,4.4,35.28223551,129.1047646,391492.4877,300439.0967
10,경부선,4.5,35.28305363,129.1043033,391448.5863,300528.9937
