sidoName,stationName,mangName,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value,khaiValue
충북,송정동(봉명동),도시대기,0.002,0.6,0.003,0.022,65,12,56
충북,사천동,도시대기,0.002,0.5,0.002,0.019,28,22,59
충북,용담동,도시대기,,0.4,0.002,0.018,12,11,30
충북,용암동,도시대기,0.002,0.5,0.002,0.017,31,15,52
충북,복대동,도로변대기,0.004,0.7,0.002,0.028,25,10,47
충북,호암동,도시대기,0.002,0.5,0.002,0.017,23,10,38
충북,칠금동,도시대기,0.003,0.4,0.003,0.022,23,18,51
충북,중앙탑면,도시대기,0.002,0.2,0.009,0.016,22,12,37
충북,살미면,도시대기,0.002,0.3,0.007,0.01,13,7,27
충북,장락동,도시대기,0.002,0.7,0.003,0.02,48,18,64
충북,영천동,도시대기,0.003,0.5,0.003,0.018,26,13,50
충북,청풍면,도시대기,0.002,0.3,0.009,0.008,6,6,20
충북,오창읍,도시대기,0.002,0.4,0.003,0.021,17,16,37
충북,산남동,도시대기,,0.4,0.003,0.018,27,12,48
충북,오송읍,도시대기,0.002,0.5,0.002,0.016,25,13,43
충북,가덕면,도시대기,0.002,0.3,0.004,0.009,22,13,50
충북,매포읍,도시대기,0.002,1,0.004,0.032,34,16,53
충북,단성면,도시대기,0.003,0.6,0.003,0.013,18,11,40
충북,단양읍,도시대기,0.002,0.7,0.003,0.015,19,9,28
충북,청천면,교외대기,0.001,0.3,0.004,0.005,34,24,64
충북,괴산읍,도시대기,0.003,0.5,0.002,0.006,,,
충북,감물면,도시대기,0.003,0.3,0.002,0.009,22,15,43
충북,진천읍,도시대기,0.002,0.4,0.003,0.02,15,,37
충북,덕산읍,도시대기,0.003,0.3,0.006,0.01,19,13,37
충북,금왕,교외대기,0.003,0.5,0.002,0.017,39,20,47
충북,음성읍,도시대기,0.002,0.4,0.002,0.016,20,13,37
충북,소이면,도시대기,0.002,0.4,0.005,0.011,21,17,56
충북,영동읍,도시대기,0.002,0.4,0.002,0.014,21,12,37
충북,도안면,도시대기,0.002,0.4,0.002,0.015,20,15,54
충북,증평읍,도시대기,0.001,0.5,0.003,0.009,13,8,27
충북,보은읍,도시대기,0.002,0.6,0.003,0.011,18,14,40
충북,옥천읍,도시대기,0.002,0.4,0.002,0.024,17,9,40
충북,청풍면,도시대기,0.002,0.5,0.006,0.009,14,13,43
충북,오창읍,도시대기,0.002,0.3,0.008,0.016,15,15,51
충북,산남동,도시대기,0.002,0.5,0.003,0.021,30,18,66
충북,오송읍,도시대기,0.002,0.6,0.002,0.018,28,20,64
충북,가덕면,도시대기,0.002,0.3,0.005,0.009,22,16,64
충북,매포읍,도시대기,0.002,0.8,0.002,0.027,37,21,64
충북,단성면,도시대기,0.003,0.3,0.015,0.008,18,11,43
충북,단양읍,도시대기,0.003,1,0.003,0.013,23,14,43
충북,청천면,교외대기,0.001,0.3,0.003,0.005,47,27,85
충북,괴산읍,도시대기,0.003,0.5,0.002,0.005,,,
충북,감물면,도시대기,0.003,0.4,0.002,0.007,25,,66
충북,진천읍,도시대기,0.002,0.5,0.018,0.021,30,22,59
충북,덕산읍,도시대기,0.003,0.4,0.023,0.009,27,19,54
충북,금왕,교외대기,0.002,,0.018,0.016,36,15,53
충북,음성읍,도시대기,0.002,0.5,0.003,0.014,32,22,64
충북,소이면,도시대기,0.002,0.5,0.005,0.009,30,27,82
충북,영동읍,도시대기,0.002,0.5,0.002,0.01,23,11,61
충북,도안면,도시대기,0.002,0.5,0.003,0.011,33,23,74
충북,증평읍,도시대기,0.002,0.5,0.003,0.009,24,15,43
충북,보은읍,도시대기,0.002,0.6,0.003,0.008,24,15,59
충북,옥천읍,도시대기,0.002,0.5,0.002,0.017,27,16,51
충북,호암동,도시대기,0.003,0.6,0.002,0.016,32,17,59
충북,칠금동,도시대기,0.003,0.5,0.003,0.021,32,23,66
충북,중앙탑면,도시대기,0.002,0.3,0.019,0.016,32,19,51
충북,살미면,도시대기,0.002,0.3,0.008,0.006,19,12,47
충북,장락동,도시대기,0.002,1,0.003,0.019,46,32,82
충북,영천동,도시대기,0.003,0.6,0.002,0.013,38,25,77
충북,송정동(봉명동),도시대기,0.002,0.7,0.002,0.025,42,18,56
충북,사천동,도시대기,0.002,0.7,0.002,0.025,29,26,77
충북,용담동,도시대기,0.003,0.4,0.003,0.022,24,10,43
충북,용암동,도시대기,0.002,0.5,0.003,0.019,33,15,61
충북,복대동,도로변대기,0.004,0.9,0.001,0.033,33,16,54
충북,송정동(봉명동),도시대기,0.003,0.9,0.002,0.034,97,46,178
충북,사천동,도시대기,0.003,0.7,0.002,0.028,73,51,208
충북,용담동,도시대기,0.003,0.5,0.002,0.028,58,31,85
충북,용암동,도시대기,0.002,0.7,0.002,0.022,73,37,178
충북,복대동,도로변대기,0.004,0.9,0.002,0.041,81,48,128
충북,호암동,도시대기,0.002,0.7,0.002,0.022,50,38,112
충북,칠금동,도시대기,0.003,0.7,0.003,0.025,65,49,128
충북,중앙탑면,도시대기,0.002,0.4,0.014,0.018,70,37,97
충북,살미면,도시대기,0.002,0.4,0.007,0.011,53,32,90
충북,장락동,도시대기,0.002,1.2,0.003,0.027,78,41,189
충북,영천동,도시대기,0.003,0.8,0.003,0.016,61,36,116
충북,청풍면,도시대기,0.002,0.5,0.013,0.013,31,28,82
충북,오창읍,도시대기,0.002,0.5,0.003,0.021,58,35,92
충북,산남동,도시대기,0.003,0.8,0.003,0.026,69,45,147
충북,오송읍,도시대기,0.003,0.8,0.002,0.021,69,41,124
충북,가덕면,도시대기,0.002,0.5,0.005,0.012,61,41,128
충북,매포읍,도시대기,0.002,0.9,0.002,0.037,74,46,101
충북,단성면,도시대기,0.004,1.3,0.003,0.018,39,29,79
충북,단양읍,도시대기,0.002,0.7,0.004,0.012,49,31,82
충북,청천면,교외대기,0.001,0.4,0.004,0.006,61,45,139
충북,괴산읍,도시대기,0.003,0.7,0.002,0.006,,,
충북,감물면,도시대기,0.003,0.5,0.003,0.009,55,44,120
충북,진천읍,도시대기,0.002,0.8,0.002,0.024,44,29,95
충북,덕산읍,도시대기,0.003,0.5,0.005,0.016,55,36,116
충북,금왕,교외대기,0.003,0.8,0.001,0.02,79,36,95
충북,음성읍,도시대기,0.002,0.6,0.002,0.019,43,33,139
충북,소이면,도시대기,0.001,0.6,0.006,0.011,57,44,151
충북,영동읍,도시대기,0.002,0.7,0.002,0.016,51,30,112
충북,도안면,도시대기,0.002,0.7,0.002,0.016,73,48,135
충북,증평읍,도시대기,0.002,0.6,0.005,0.013,28,13,72
충북,보은읍,도시대기,0.002,0.7,0.003,0.013,61,36,135
충북,옥천읍,도시대기,0.004,0.8,0.002,0.042,68,40,95
충북,호암동,도시대기,0.003,0.6,0.002,0.022,46,23,69
충북,칠금동,도시대기,0.004,0.6,0.003,0.024,49,37,87
충북,중앙탑면,도시대기,0.002,0.4,0.006,0.034,50,31,79
충북,살미면,도시대기,0.002,0.3,0.008,0.008,37,17,56
충북,장락동,도시대기,0.002,0.8,0.003,0.021,58,26,81
충북,영천동,도시대기,0.003,0.7,0.003,0.017,47,24,69
충북,청풍면,도시대기,0.002,0.8,0.003,0.022,32,22,59
충북,오창읍,도시대기,0.002,0.5,0.003,0.023,47,30,79
충북,산남동,도시대기,0.003,0.9,0.002,0.026,58,34,100
충북,오송읍,도시대기,0.003,0.7,0.002,0.018,55,32,95
충북,가덕면,도시대기,,,,,,,
충북,매포읍,도시대기,0.002,1.2,0.002,0.032,47,28,72
충북,단성면,도시대기,0.004,1.1,0.003,0.019,26,19,56
충북,단양읍,도시대기,0.002,0.5,0.005,0.011,26,14,48
충북,청천면,교외대기,0.001,0.4,0.003,0.007,61,41,100
충북,괴산읍,도시대기,0.003,0.6,0.002,0.006,36,27,82
충북,감물면,도시대기,0.003,0.5,0.002,0.01,49,34,79
충북,진천읍,도시대기,0.003,0.9,0.002,0.03,,2,
충북,덕산읍,도시대기,0.003,0.5,0.005,0.019,50,31,77
충북,금왕,교외대기,0.003,1,0.002,0.021,72,35,83
충북,음성읍,도시대기,0.002,0.7,0.002,0.017,49,29,87
충북,소이면,도시대기,0.001,0.5,0.005,0.011,35,29,87
충북,영동읍,도시대기,0.002,0.6,0.002,0.013,38,21,69
충북,도안면,도시대기,0.002,0.5,0.002,0.015,48,31,87
충북,증평읍,도시대기,0.001,0.7,0.003,0.012,37,21,59
충북,보은읍,도시대기,0.002,0.6,0.002,0.011,47,30,85
충북,옥천읍,도시대기,0.003,0.7,0.002,0.033,55,31,85
충북,송정동(봉명동),도시대기,0.003,1,0.002,0.04,74,37,92
충북,사천동,도시대기,0.003,0.7,0.002,0.025,,,
충북,용담동,도시대기,0.002,0.5,0.002,0.027,49,27,74
충북,용암동,도시대기,0.002,0.7,0.002,0.021,59,24,85
충북,복대동,도로변대기,0.004,1,0.001,0.039,62,35,90
충북,송정동(봉명동),도시대기,0.003,0.9,0.003,0.035,63,27,81
충북,사천동,도시대기,0.003,0.7,0.003,0.024,,,
충북,용담동,도시대기,0.001,0.4,0.002,0.025,37,16,58
충북,용암동,도시대기,0.002,0.6,0.002,0.021,53,20,81
충북,복대동,도로변대기,0.003,0.8,0.001,0.033,52,25,75
충북,옥천읍,도시대기,0.003,0.5,0.002,0.032,52,24,78
충북,호암동,도시대기,0.003,0.6,0.002,0.022,56,20,73
충북,칠금동,도시대기,0.003,0.6,0.003,0.026,54,26,79
충북,중앙탑면,도시대기,0.002,0.4,0.009,0.028,47,22,67
충북,살미면,도시대기,0.002,0.4,0.008,0.009,36,17,66
충북,장락동,도시대기,0.002,0.8,0.004,0.022,68,38,89
충북,영천동,도시대기,0.003,0.7,0.003,0.021,59,27,80
충북,청풍면,도시대기,0.002,0.9,0.004,0.024,52,32,72
충북,오창읍,도시대기,0.002,0.6,0.003,0.025,37,20,60
충북,산남동,도시대기,0.002,0.6,0.003,0.026,45,23,74
충북,오송읍,도시대기,0.002,0.5,0.002,0.019,48,22,72
