행정구,법정동,행정동,도로연장(km),총인구수 (명),면적(km^2),도로보급률
강서구,가덕도동,가덕도동,63.024042,4081,19.42,7.079430828
강서구,가락동,가락동,50.605329,2312,14.09,8.866390221
강서구,강동동,강동동,28.907008,4179,16.31,3.501385884
강서구,녹산동,녹산동,305.938534,35872,58.93,6.654082257
강서구,대저1동,대저1동,86.238678,6417,13.66,9.211083537
강서구,대저2동,대저2동,118.312049,7033,27.11,8.568285092
강서구,명지동,명지1동,61.72369,53827,12.4,2.389136433
강서구,명지동,명지2동,15.43092,30326,3.25,1.554327
금정구,구서동,구서1동,17.442187,19430,1.07,3.825362967
금정구,구서동,구서2동,14.792639,32446,0.93,2.692920935
금정구,금사회동동,금사회동동,39.03676,7732,3.76,7.239922536
금정구,금성동,금성동,2.755318,1010,0.07,10.36243985
금정구,남산동,남산동,26.307103,28052,1.85,3.651785382
금정구,부곡동,부곡1동,8.94248,8162,0.37,5.145870116
금정구,부곡동,부곡2동,12.443648,17820,0.67,3.601276494
금정구,부곡동,부곡3동,14.129168,15527,2.15,2.445420691
금정구,부곡동,부곡4동,4.689744,12554,0.28,2.501376461
금정구,서동,서1동,7.627509,5139,0.34,5.770373987
금정구,서동,서2동,9.067227,9051,0.35,5.094389938
금정구,서동,서3동,12.143144,11012,0.5,5.175032024
금정구,선두구동,선두구동,22.494624,2294,3.87,7.549645318
금정구,장전동,장전1동,16.523668,17976,0.79,4.384765632
금정구,장전동,장전2동,6.226141,26251,0.64,1.518993931
금정구,청룡노포동,청룡노포동,32.686584,9717,4.84,4.76629319
기장군,기장읍,기장읍,146.586505,52218,37.42,3.316133315
기장군,일광읍,일광읍,151.2356,27610,35.76,4.813068862
기장군,장안읍,장안읍,163.04611,8457,33.1,9.745144419
기장군,정관읍,정관읍,128.79307,81429,34.56,2.427817725
기장군,철마면,철마면,51.298427,7822,22.56,3.861673881
남구,감만동,감만1동,17.00487,12343,1.86,3.549003924
남구,감만동,감만2동,4.861717,6687,0.28,3.552998284
남구,대연동,대연1동,16.747139,15814,0.86,4.541198985
남구,대연동,대연3동,29.044944,32792,3.74,2.622713126
남구,대연동,대연4동,12.068042,12194,1.01,3.43876922
남구,대연동,대연5동,9.903754,16969,0.53,3.302431246
남구,대연동,대연6동,5.500321,15131,0.46,2.084852354
남구,문현동,문현1동,9.475171,13274,0.64,3.250844251
남구,문현동,문현2동,10.474505,8454,0.56,4.814025353
남구,문현동,문현3동,9.31837,16514,0.5,3.242864545
남구,문현동,문현4동,9.547376,8020,0.74,3.919051608
남구,용당동,용당동,7.908655,8185,0.82,3.052715717
남구,용호동,용호1동,13.61757,43721,1.23,1.856957727
남구,용호동,용호2동,10.081831,16533,0.86,2.673710334
남구,용호동,용호3동,8.989138,12038,0.79,2.914924648
남구,용호동,용호4동,4.057809,8446,0.63,1.759121302
남구,우암동,우암동,11.510087,12620,0.92,3.377963987
동구,범일동,범일1동,9.062343,11640,0.49,3.794599678
동구,범일동,범일2동,10.442014,7962,0.53,5.083177203
동구,범일동,범일5동,13.590536,4266,0.66,8.09942507
동구,수정동,수정1동,2.548828,4101,0.12,3.63333148
동구,수정동,수정2동,7.358957,9783,0.42,3.630409319
동구,수정동,수정4동,3.870837,3785,0.19,4.564520283
동구,수정동,수정5동,4.107462,5208,0.21,3.927610561
동구,좌천동,좌천동,9.062977,11808,0.57,3.493375562
동구,초량동,초량1동,4.599415,5002,0.25,4.113019317
동구,초량동,초량2동,4.942226,5692,0.3,3.782069698
동구,초량동,초량3동,14.368845,13036,0.9,4.194965847
동구,초량동,초량6동,4.813151,5804,0.32,3.531756846
동래구,명륜동,명륜동,14.125865,25187,1.27,2.497611986
동래구,명장동,명장1동,9.308017,13949,0.73,2.916917867
동래구,명장동,명장2동,9.808735,14619,0.84,2.799074936
동래구,복산동,복산동,6.692208,9245,0.56,2.941182407
동래구,사직동,사직1동,8.93766,10494,0.43,4.207451048
동래구,사직동,사직2동,8.592251,25953,0.94,1.739599384
동래구,사직동,사직3동,10.493508,17199,0.66,3.114563085
동래구,수민동,수민동,16.739608,32068,1.09,2.831366552
동래구,안락동,안락1동,14.537076,14232,0.78,4.363116327
동래구,안락동,안락2동,17.69775,26764,1.31,2.988869116
동래구,온천동,온천1동,14.479203,22406,0.97,3.105822444
동래구,온천동,온천2동,15.233345,24215,1.05,3.021053329
동래구,온천동,온천3동,19.473712,38160,1.24,2.830959897
부산진구,가야동,가야2동,8.473119,18981,0.5,2.750418364
부산진구,가야동,가야1동,17.670839,16659,1.54,3.488770051
부산진구,개금동,개금1동,11.867824,16714,0.51,4.064862038
부산진구,개금동,개금2동,6.593894,10782,0.29,3.729007859
부산진구,개금동,개금3동,11.576177,28397,0.98,2.194400482
부산진구,당감동,당감2동,4.534583,22737,0.27,1.830159298
부산진구,당감동,당감4동,5.617539,10208,0.55,2.370797283
부산진구,당감동,당감1동,8.444938,11165,1.23,2.278843737
부산진구,범천동,범천1동,10.469231,12111,0.44,4.535220866
부산진구,범천동,범천2동,11.174354,20213,1.31,2.171557782
부산진구,부암동,부암1동,13.798847,23287,0.86,3.08344923
부산진구,부암동,부암3동,4.469122,17188,0.31,1.936104039
부산진구,부전동,부전1동,20.091897,15785,1.17,4.675259476
부산진구,부전동,부전2동,15.274822,10657,0.64,5.848825821
부산진구,양정동,양정1동,9.00879,19695,0.54,2.762431966
부산진구,양정동,양정2동,11.72346,11911,0.62,4.314056701
부산진구,연지동,연지동,8.312365,20365,0.5,2.604938027
부산진구,전포동,전포1동,20.226755,21658,1.06,4.221473882
부산진구,전포동,전포2동,14.057937,20736,0.82,3.409197603
부산진구,초읍동,초읍동,17.453963,21750,1.3,3.282409374
북구,구포동,구포1동,11.629318,16130,0.74,3.36605496
북구,구포동,구포2동,16.563842,24938,1.32,2.886976863
북구,구포동,구포3동,12.172483,19353,0.69,3.331044872
북구,금곡동,금곡동,14.914495,37482,1.32,2.12036296
북구,덕천동,덕천1동,13.01682,10916,0.84,4.298663926
북구,덕천동,덕천2동,24.804241,11843,1.77,5.417618813
북구,덕천동,덕천3동,3.651714,10591,0.16,2.80522875
북구,만덕동,만덕1동,7.903022,16667,0.78,2.191882008
북구,만덕동,만덕2동,16.606312,26850,1.04,3.142565791
북구,만덕동,만덕3동,3.758284,18388,0.27,1.686710178
북구,화명동,화명1동,11.468529,40988,0.88,1.909580703
북구,화명동,화명2동,14.723007,17039,1.35,3.069782337
북구,화명동,화명3동,22.977242,29326,1.67,3.283320268
사상구,감전동,감전동,40.290133,13134,4.14,5.463865807
사상구,괘법동,괘법동,19.555774,22648,1.21,3.735660465
사상구,덕포동,덕포1동,3.926936,8569,0.33,2.335241403
사상구,덕포동,덕포2동,18.090562,12731,1.08,4.878754019
사상구,모라동,모라1동,28.322159,27780,1.43,4.493577302
사상구,모라동,모라3동,3.397064,10117,0.04,5.340081169
사상구,삼락동,삼락동,27.868014,5681,1.92,8.438067808
사상구,엄궁동,엄궁동,16.369736,26452,1.67,2.462941989
사상구,주례동,주례1동,13.727763,14944,0.77,4.046886095
사상구,주례동,주례2동,9.69244,22834,0.51,2.84025305
사상구,주례동,주례3동,5.478041,12959,0.45,2.268471235
사상구,학장동,학장동,39.492707,27916,4.43,3.551308863
사하구,감천동,감천1동,11.326579,18127,1.16,2.470055983
사하구,감천동,감천2동,5.1828,5765,0.23,4.500915673
사하구,괴정동,괴정1동,9.87649,19139,0.55,3.044119257
사하구,괴정동,괴정2동,7.833432,15519,0.43,3.032396477
사하구,괴정동,괴정3동,7.543363,12199,0.61,2.765272751
사하구,괴정동,괴정4동,7.40851,12007,0.5,3.023629779
사하구,구평동,구평동,14.191242,12902,3.69,2.056736731
사하구,다대동,다대1동,31.541057,38154,3.67,2.665466161
사하구,다대동,다대2동,8.33971,26775,1.55,1.294554564
사하구,당리동,당리동,13.217784,25990,1.49,2.124038461
사하구,신평동,신평1동,10.895479,16574,0.83,2.93760646
사하구,신평동,신평2동,16.588712,17677,2.01,2.782981746
사하구,장림동,장림1동,14.754006,10553,1.52,3.683835194
사하구,장림동,장림2동,11.506232,27035,1.68,1.707321458
사하구,하단동,하단1동,11.077895,21303,1.43,2.007099219
사하구,하단동,하단2동,8.871583,25289,1.46,1.460020198
서구,남부민동,남부민1동,1.090691,4801,0.04,2.488891021
서구,남부민동,남부민2동,4.266939,8833,0.35,2.426768208
서구,동대신동,동대신1동,2.45481,5584,0.1,3.285074166
서구,동대신동,동대신2동,6.141069,7165,0.39,3.673699052
서구,동대신동,동대신3동,5.979559,7610,0.29,4.025110692
서구,부민동,부민동,5.819782,7475,0.3,3.886337302
서구,서대신동,서대신1동,6.126123,13587,0.38,2.696075974
서구,서대신동,서대신3동,2.778329,7878,0.14,2.645523758
서구,서대신동,서대신4동,4.192039,7648,0.67,1.851884827
서구,아미동,아미동,3.917204,6387,0.25,3.099971684
서구,암남동,암남동,23.435388,13421,3.49,3.42426208
서구,초장동,초장동,2.093964,4152,0.14,2.746480505
서구,충무동,충무동,8.843336,9799,0.35,4.775196254
수영구,광안동,광안1동,17.421096,25857,0.81,3.806658319
수영구,광안동,광안2동,12.932093,18875,0.62,3.780328098
수영구,광안동,광안3동,10.761642,9642,0.53,4.760549028
수영구,광안동,광안4동,8.22984,13747,0.62,2.818977314
수영구,남천동,남천1동,13.132469,13865,0.96,3.599571717
수영구,남천동,남천2동,3.79707,11978,0.27,2.111419689
수영구,망미동,망미1동,18.651268,27260,1.22,3.234189936
수영구,망미동,망미2동,12.84879,10512,0.97,4.023774999
수영구,민락동,민락동,23.044004,28470,1.59,3.425039987
수영구,수영동,수영동,14.210241,14533,0.77,4.247940686
연제구,거제동,거제1동,17.563085,28662,1.48,2.696601052
연제구,거제동,거제2동,12.373877,11986,1.26,3.184075708
연제구,거제동,거제3동,7.24414,9829,0.45,3.44449779
연제구,거제동,거제4동,5.928229,10221,0.25,3.708585305
연제구,연산동,연산1동,9.573355,16700,0.71,2.780204576
연제구,연산동,연산2동,9.636692,20191,0.65,2.660065839
연제구,연산동,연산3동,3.068508,10942,0.14,2.479218973
연제구,연산동,연산4동,9.421943,15965,0.55,3.179615946
연제구,연산동,연산5동,12.022833,16587,0.56,3.944835328
연제구,연산동,연산6동,13.121524,16551,1.09,3.089291652
연제구,연산동,연산8동,7.60041,13895,0.42,3.146176624
연제구,연산동,연산9동,18.666828,34616,1.21,2.884293157
영도구,남항동,남항동,14.358617,10814,0.75,5.041836953
영도구,동삼동,동삼1동,20.769922,27057,2.23,2.673884312
영도구,동삼동,동삼2동,9.804552,4162,1.18,4.424209792
영도구,동삼동,동삼3동,2.806109,9597,0.17,2.196910318
영도구,봉래동,봉래1동,4.491434,6625,0.25,3.489973077
영도구,봉래동,봉래2동,3.45855,7818,0.32,2.186609529
영도구,신선동,신선동,2.754002,8078,0.29,1.799340387
영도구,영선동,영선1동,4.582909,3911,0.17,5.620472991
영도구,영선동,영선2동,5.379815,8087,0.26,3.710111366
영도구,청학동,청학1동,8.555682,5959,0.45,5.224703923
영도구,청학동,청학2동,11.566962,17287,1.23,2.508458596
중구,광복동,광복동,3.786081,957,0.12,11.17231853
중구,남포동,남포동,7.667875,892,0.28,15.34311646
중구,대청동,대청동,5.476422,6182,0.28,4.162491795
중구,동광동,동광동,3.616841,2593,0.19,5.152895775
중구,보수동,보수동,8.826235,10509,0.35,4.602149984
중구,부평동,부평동,7.687621,4463,0.24,7.428017191
중구,영주동,영주1동,5.452134,4688,0.19,5.776914225
중구,영주동,영주2동,7.255159,6997,0.32,4.848596108
중구,중앙동,중앙동,11.520548,3174,0.46,9.534342758
해운대구,반송동,반송1동,19.921465,13510,3.37,2.952423461
해운대구,반송동,반송2동,12.303928,22803,1.52,2.089902346
해운대구,반여동,반여1동,29.038039,33922,3.45,2.684213225
해운대구,반여동,반여2동,5.076898,12431,0.3,2.628964838
해운대구,반여동,반여3동,4.07855,8322,0.18,3.332388926
해운대구,반여동,반여4동,3.705152,15806,0.36,1.553258683
해운대구,송정동,송정동,20.753856,9767,2.83,3.947525894
해운대구,우동,우1동,24.928657,22017,2.65,3.26359962
해운대구,우동,우2동,28.292542,30579,2.73,3.096556484
해운대구,우동,우3동,12.76598,28532,0.83,2.623306322
해운대구,재송동,재송1동,23.688071,37514,1.42,3.245553981
해운대구,재송동,재송2동,14.649596,24198,0.81,3.308974363
해운대구,좌동,좌1동,5.073796,17871,0.32,2.121698089
해운대구,좌동,좌2동,5.592018,31635,0.5,1.406046356
해운대구,좌동,좌3동,7.319492,15891,0.72,2.163909425
해운대구,좌동,좌4동,15.660067,22883,1.8,2.44006212
해운대구,중동,중1동,21.117586,27840,1.73,3.042892463
해운대구,중동,중2동,17.039749,15790,1.16,3.98146712
