행정시,행정구,법정동,행정동,업소명,소재지,관리구분,위도,경도,면적,공시지가,토지비용,환경적요인,사회적요인,경제적요인,기술적요인,최종확률
부산,강서구,대저1동,대저1동,개인택시신공항충전소,부산 강서구 경전철로188번길 95,자동차충전,35.19866936,128.9665944,2545.0,2144000,5456480000,0.860913,0.35,0.270242,0.999989,0.507162
부산,강서구,대저2동,대저2동,부산공항LPG충전소,부산 강서구 공항로 459,자동차충전,35.14906405,128.951891,3105.0,1174000,3645270000,0.860913,0.35,0.470242,0.999989,0.567162
부산,강서구,녹산동,녹산동,신항만에너지,부산 강서구 낙동남로 507 ,자동차충전,35.11294738,128.8752599,3105.0,1174000,3645270000,0.7,0.35,0.270242,0.999989,0.49107
부산,강서구,녹산동,녹산동,르노삼성자동차(주),부산 강서구 르노삼성대로 61,자동차충전,35.09540802,128.8832153,1538.0,640100,984473800,0.7,0.35,0.270242,0.999989,0.49107
부산,강서구,가락동,가락동,죽림LPG충전소,부산 강서구 호계로 102 ,자동차충전,35.20073559,128.8934617,1580.0,1017000,1606860000,0.860913,0.35,0.270242,0.999989,0.507162
부산,강서구,가락동,가락동,가락충전소,부산 강서구 호계로 195 ,자동차충전,35.20884705,128.8901483,2600.0,1017000,2644200000,0.860913,0.35,0.270242,0.999989,0.507162
부산,금정구,금사회동동,금사회동동,(주)해연,부산 금정구 개좌로 225-15 ,용기+탱크+13kg용기,35.23079642,129.1223877,3346.0,1370000,4584020000,0.860913,0.35,0.270242,0.999989,0.507162
부산,금정구,금사회동동,금사회동동,(주)신진가스,부산 금정구 반송로 433 ,자동차충전,35.21500596,129.111143,1646.4,2797000,4604980800,0.860913,0.35,0.270242,0.999989,0.507162
부산,기장군,기장읍,기장읍,마라톤가스(주)청강충전소,부산 기장군 기장읍 기장대로 343 A동,자동차충전,35.22565678,129.2139877,2592.0,1069000,2770848000,0.55,0.35,0.270242,0.999989,0.47607
부산,기장군,기장읍,기장읍,한국에너지산업(주),부산 기장군 기장읍 기장대로413번길 38,용기+자동차+탱크+13kg용기,35.23554313,129.2156292,2473.0,1063000,2628799000,0.55,0.35,0.270242,0.999989,0.47607
부산,기장군,장안읍,장안읍,선암가스충전소,부산 기장군 장안읍 기장대로 1451 ,자동차+13kg용기,35.32158498,129.2413204,2717.0,1060000,2880020000,0.860913,0.35,0.270242,0.999989,0.507162
부산,기장군,장안읍,장안읍,KH에너지(주)직영장안충전소(부산방향),부산 기장군 장안읍 동해고속도로 25,자동차충전,35.37752494,129.2464016,15637.0,263500,4120349500,0.860913,0.35,0.270242,0.999989,0.507162
부산,기장군,장안읍,장안읍,KH에너지(주)직영장안충전소(울산방향),부산 기장군 장안읍 동해고속도로 26,자동차충전,35.38287021,129.2483936,37294.0,263500,9826969000,0.860913,0.35,0.270242,0.999989,0.507162
부산,기장군,정관읍,정관읍,정림에너지,부산 기장군 정관읍 신정관로 187 ,자동차충전,35.32871396,129.2017105,2575.0,743500,1914512500,0.860913,0.35,0.270242,0.999989,0.507162
부산,기장군,정관읍,정관읍,광신개발(주)직영 정관가스충전소,부산 기장군 정관읍 정관로 907,자동차+13kg용기,35.32474899,129.2109642,1899.0,877400,1666182600,0.860913,0.35,0.270242,0.999989,0.507162
부산,기장군,철마면,철마면,개인택시동부산충전소,부산 기장군 철마면 반송로 1022,자동차충전,35.23592956,129.1637285,2543.0,923000,2347189000,0.860913,0.35,0.270242,0.999989,0.507162
부산,동구,범일동,범일5동,개인택시남부LPG충전소,부산 동구 성남로 42,자동차충전,35.13062731,129.0549171,1518.5,1701000,2582968500,0.860913,0.35,0.270242,0.999989,0.507162
부산,동구,범일동,범일5동,(주)대양씨앤씨(구:녹색에너지 범일영업소),부산 동구 성남로 74-3,용기+13kg용기,35.13089127,129.0575872,3169.8,1545000,4897341000,0.860913,0.35,0.270242,0.999989,0.507162
부산,북구,금곡동,금곡동,개인택시 금곡역충전소,부산 북구 금곡대로 704,자동차충전,35.26947493,129.0187808,2055.0,842500,1731337500,0.860913,0.7,0.270242,0.999989,0.647162
부산,북구,만덕동,만덕1동,(주)삼보,부산 북구 만덕대로 327-0,자동차충전,35.21364298,129.0406347,3837.0,1608000,6169896000,0.860913,0.7,0.470242,0.999989,0.707162
부산,사상구,주례동,감전동,팔성가스충전소,부산 사상구 가야대로 75,자동차+13kg용기,35.15131713,128.980986,2946.6,3247000,9567610200,0.860913,0.5,0.270242,0.999989,0.567162
부산,사상구,엄궁동,엄궁동,(주)성은에너지제2충전소,부산 사상구 강변대로 412,자동차충전,35.12209193,128.9620633,3732.4,2373000,8856985200,0.860913,0.5,0.470242,0.999989,0.627162
부산,사상구,감전동,감전동,극동유화(주)감전충전소,부산 사상구 낙동대로 878,용기+자동차+탱크+13kg용기,35.13888783,128.9713389,2886.1,3201000,9238406100,0.860913,0.5,0.270242,0.999989,0.567162
부산,사하구,장림동,장림2동,광진기업(주)장림영업소,부산 사하구 다대로 309,용기+자동차+13kg용기,35.07500664,128.9771626,1604.0,2665000,4274660000,0.7,0.5,0.270242,0.999989,0.55107
부산,사하구,신평동,신평2동,광신가스(주)을숙도대로충전소,부산 사하구 을숙도대로 530,자동차충전,35.08522466,128.9636463,1632.0,1095000,1787040000,0.860913,0.5,0.270242,0.999989,0.567162
부산,사하구,신평동,신평1동,개인택시사하엘피지충전소,부산 사하구 을숙도대로 583,자동차충전,35.08553363,128.9693489,1657.0,1498000,2482186000,0.860913,0.5,0.270242,0.999989,0.567162
부산,연제구,거제동,거제2동,부산개인택시엘피지충전소,부산 연제구 월드컵대로 399,자동차충전,35.18601331,129.0559741,9212.0,688600,6343383200,0.860913,0.35,0.470242,0.999989,0.567162
부산,영도구,영선동,영선2동,(주)태종에너지,부산 영도구 영선대로 41,자동차충전,35.08499639,129.040033,1610.2,2679000,4313725800,0.860913,0.85,0.270242,0.999989,0.707162
부산,영도구,청학동,청학2동,부산에너지,부산 영도구 해양로 160,용기+자동차+탱크+13kg용기,35.09127475,129.0694845,5801.0,989400,5739509400,0.4,0.5,0.270242,0.999989,0.52107
부산,영도구,동삼동,동삼1동,개인택시 영도LPG충전소,부산 영도구 해양로 296,자동차충전,35.08217583,129.0764292,1818.0,349800,635936400,0.860913,0.5,0.270242,0.999989,0.567162
부산,해운대구,송정동,송정동,이원 해운대LPG충전소,부산 해운대구 해운대로 1255,용기+자동차+탱크+13kg용기,35.19672789,129.2052601,3700.0,1607000,5945900000,0.860913,0.5,0.270242,0.999989,0.567162
