운영형태,관리기관명,주차장명,주차장관리번호,소재지도로명주소,주차장구분,주차장유형,주차구획수,위도,경도,교차로
구(군)직영,부산광역시 사상구청,감전동주변,2010000013,사상구 감전동 589-2,공영,노외,26,35.1541079,128.9800713,239
민간위탁,부산광역시 사상구청,엄궁초등학교지하주차장,2010000016,사상구 엄궁로191번길 23 ,공영,노외,93,35.1284458,128.973403,85
구(군)직영,부산광역시 사상구청,일신주택주변,2011000003,사상구 주례3동 545-3,공영,노외,10,35.1452068,129.0006715,165
구(군)직영,부산광역시 사상구청,주례중학교주변,2012000004,사상구 주례2동 82-13,공영,노외,8,35.1543835,129.011131,276
민간위탁,부산광역시 사상구청,모라1동행정복지센터주변,2007001725,사상구 백양대로 949-6,공영,노상,156,35.1710438,128.9880845,249
민간위탁,부산광역시 사상구청,학장동행정복지센터,2008000014,사상구 학감대로147번길 11 ,공영,노상,146,35.1441066,128.9873327,175
민간위탁,부산광역시 사상구청,삼락재첩거리주변,2009000001,사상구 낙동대로1518번길 33 ,공영,노상,137,35.193004,128.9860303,312
구(군)직영,부산광역시 사상구청,서감남길주변,2009000006,사상구 감전동 806-2,공영,노외,12,35.1541079,128.9800713,239
구(군)직영,부산광역시 사상구청,백양고가도로주변,2009000009,사상구 주례1동 340,공영,노외,23,35.158466,129.0020798,169
구(군)직영,부산광역시 사상구청,동주중학교주변,2009000013,사상구 주례3동 1262,공영,노외,37,35.1452068,129.0006715,165
구(군)직영,부산광역시 사상구청,동주윗길주변,2009000014,사상구 주례3동 545-18,공영,노외,5,35.1452068,129.0006715,165
시설관리공단위탁,부산광역시 사상구청,학장천복개,2007001468,사상구 주례3동 1233-7,공영,노외,275,35.1452068,129.0006715,165
민간운영,부산광역시 기장군청,동부근린공원인근 노외 주차장,2008000009,기장군 기장읍 151-8,공영,노외,100,35.2221405,129.2069469,19
민간운영,부산광역시 기장군청,기장 제1공영주차장,2010000006,기장군 기장읍 280-9,공영,노외,178,35.2221405,129.2069469,19
민간운영,부산광역시 기장군청,3구역 2소,2008000010,기장군 기장읍 38-0,공영,노상,30,35.2221405,129.2069469,19
민간운영,부산광역시 기장군청,3구역 3소,2008000011,기장군 기장읍 124-3 ,공영,노상,25,35.2221405,129.2069469,19
민간운영,부산광역시 기장군청,1구역 1소,2009000001,기장군 기장읍 278-3,공영,노상,34,35.2221405,129.2069469,19
구(군)직영,부산광역시 기장군청,임랑해수욕장 주변(행정봉사실 옆),2016000001,기장군 장안읍 1-5,공영,노외,51,35.33988,129.25706,51
구(군)직영,부산광역시 기장군청,장안읍 임랑리 아름마을,2016000002,기장군 장안읍 380-5,공영,노외,17,35.33988,129.25706,51
구(군)직영,부산광역시 기장군청,장안사 진입도로변,2016000003,기장군 장안읍 686-1,공영,노외,106,35.33988,129.25706,51
구(군)직영,부산광역시 기장군청,길천마을,2016000004,기장군 장안읍 255-8,공영,노외,55,35.33988,129.25706,51
구(군)직영,부산광역시 기장군청,오리 대룡마을,2016000005,기장군 장안읍 141-8,공영,노외,37,35.33988,129.25706,51
구(군)직영,부산광역시 기장군청,좌천 재래시장,2016000006,기장군 장안읍 45-8,공영,노외,55,35.33988,129.25706,51
구(군)직영,부산광역시 기장군청,상장안마을 공영주차장,2016000007,기장군 장안읍 412-3,공영,노외,35,35.33988,129.25706,51
구(군)직영,부산광역시 기장군청,하장안마을 공영주차장,2016000008,기장군 장안읍 120-3,공영,노외,28,35.33988,129.25706,51
구(군)직영,부산광역시 기장군청,마지마을 공영주차장,2016000009,기장군 철마면 304-3,공영,노외,29,35.27948,129.15495,36
구(군)직영,부산광역시 기장군청,한신아파트 앞 주변 이면도로,2016000011,기장군 기장읍 484,공영,노상,18,35.2221405,129.2069469,19
구(군)직영,부산광역시 기장군청,동산그린타워 주변 이면도로,2016000012,기장군 기장읍 448,공영,노상,63,35.2221405,129.2069469,19
구(군)직영,부산광역시 기장군청,포스코아파트 앞 주변도로,2016000013,기장군 차성동로116번길 1 ,공영,노상,13,35.2480783,129.218005,295
구(군)직영,부산광역시 기장군청,청강리 기장병원 주변 이면도로,2016000014,기장군 기장읍 305,공영,노상,190,35.2221405,129.2069469,19
구(군)직영,부산광역시 기장군청,정관면 달산리 성림아파트 전면도로,2016000016,기장군 정관로 744-41 ,공영,노상,8,35.3222563,129.1940209,120
구(군)직영,부산광역시 사상구청,엄궁동우체국주변,2007001788,사상구 엄궁동 522-7,공영,노외,7,35.1253802,128.9724058,79
민간위탁,부산광역시 사상구청,감전중천주변,2007011323,사상구 새벽시장로56번가길 63,공영,노상,189,35.1542487,128.9783556,221
시설관리공단위탁,부산광역시 사상구청,도시철도 냉정역,2007011149,사상구 주례2동 1233-1,공영,노외,82,35.1543835,129.011131,276
구(군)직영,부산광역시 사상구청,엄광길주변,2007001421,사상구 주례2동 1285-18,공영,노외,9,35.1543835,129.011131,276
구(군)직영,부산광역시 사상구청,덕포시장주변,2007001780,사상구 덕포2동 419-2,공영,노외,23,35.17632385,128.9892648,206
민간위탁,부산광역시 사상구청,동영공업주변,2007001207,사상구 감전천로 84 ,공영,노상,414,35.1502645,128.9762541,178
민간위탁,부산광역시 사상구청,위생처리장주변,2007001169,사상구 낙동대로943번길 157,공영,노상,271,35.13828,128.96704,99
민간위탁,부산광역시 사상구청,학장지구대주변,2007001147,사상구 학장로135번길 24-9 ,공영,노상,225,35.1464578,128.9831396,227
