행정구,행정동,가구당인구수,평균소득금액(만)
강서구,가덕도동,2.0,2414.33
강서구,가락동,1.77,1765.034
강서구,강동동,1.99,2650.385
강서구,녹산동,1.94,2143.833333
강서구,대저1동,1.91,3128.1425
강서구,대저2동,1.86,4105.827778
강서구,명지1동,2.15,3671.031667
강서구,명지2동,1.89,2149.02
금정구,구서1동,2.15,2169.08
금정구,구서2동,2.11,2356.64
금정구,금사회동동,2.28,2093.43
금정구,금성동,2.13,2593.4
금정구,남산동,2.29,2469.215
금정구,부곡1동,2.54,2728.94
금정구,부곡2동,2.61,2728.94
금정구,부곡3동,2.08,2511.108
금정구,부곡4동,2.01,2220.83
금정구,서1동,1.91,1842.1
금정구,서2동,2.04,2620.82625
금정구,서3동,2.12,1797.69
금정구,선두구동,2.1,1797.69
금정구,장전1동,2.31,2451.3
금정구,장전2동,2.01,2386.76
금정구,청룡노포동,1.98,2386.76
기장군,기장읍,2.25,2386.76
기장군,일광읍,2.21,2386.76
기장군,장안읍,2.2,2121.72
기장군,정관읍,2.15,2121.72
기장군,철마면,1.97,2121.72
남구,감만1동,2.22,2121.72
남구,감만2동,2.24,2112.69
남구,대연1동,2.16,2095.67
남구,대연3동,2.09,2095.67
남구,대연4동,2.28,2112.69
남구,대연5동,2.29,2194.562857
남구,대연6동,2.27,2411.23
남구,문현1동,2.31,2179.21
남구,문현2동,2.0,1944.7
남구,문현3동,2.2,2426.106667
남구,문현4동,2.06,1836.33
남구,용당동,2.22,1947.32
남구,용호1동,2.42,1947.32
남구,용호2동,2.31,2565.79
남구,용호3동,2.16,2565.79
남구,용호4동,1.79,2565.79
남구,우암동,1.74,3267.813333
동구,범일1동,1.94,3189.49
동구,범일2동,2.51,3457.105
동구,범일5동,2.4,3584.35
동구,수정1동,2.44,3148.73
동구,수정2동,1.8,3148.73
동구,수정4동,1.9,2715.89
동구,수정5동,1.98,2715.89
동구,좌천동,2.5,2575.03
동구,초량1동,2.7,2575.03
동구,초량2동,2.46,2254.35
동구,초량3동,2.44,2254.35
동구,초량6동,2.38,2414.69
동래구,명륜동,2.16,2517.86
동래구,명장1동,2.38,2517.86
동래구,명장2동,2.06,2933.88
동래구,복산동,2.35,2933.88
동래구,사직1동,2.43,2933.88
동래구,사직2동,1.83,2353.62
동래구,사직3동,2.18,2353.62
동래구,수민동,2.52,3672.345
동래구,안락1동,2.23,3062.315
동래구,안락2동,2.75,3462.28
동래구,온천1동,2.08,3885.38
동래구,온천2동,2.54,3885.38
동래구,온천3동,2.36,3885.38
부산진구,가야2동,2.37,3733.36
부산진구,가야1동,2.94,3733.36
부산진구,개금1동,2.46,3733.36
부산진구,개금2동,2.31,3432.0
부산진구,개금3동,2.59,3432.0
부산진구,당감2동,2.42,3254.77
부산진구,당감4동,2.41,3254.77
부산진구,당감1동,1.93,3570.8
부산진구,범천1동,2.42,3570.8
부산진구,범천2동,2.29,3570.8
부산진구,부암1동,2.21,3570.8
부산진구,부암3동,2.65,3570.8
부산진구,부전1동,2.68,3084.97
부산진구,부전2동,2.65,3084.97
부산진구,양정1동,2.32,3084.97
부산진구,양정2동,2.36,3084.97
부산진구,연지동,2.61,2886.53
부산진구,전포1동,2.31,2387.37
부산진구,전포2동,2.31,2387.37
부산진구,초읍동,2.43,1940.45
북구,구포1동,2.47,2408.94
북구,구포2동,1.9,2408.94
북구,구포3동,2.46,2408.94
북구,금곡동,2.28,2408.94
북구,덕천1동,2.11,2915.22
북구,덕천2동,2.34,2915.22
북구,덕천3동,2.46,2915.22
북구,만덕1동,2.23,3662.93
북구,만덕2동,2.94,3754.05
북구,만덕3동,2.59,3754.05
북구,화명1동,2.85,3754.05
북구,화명2동,2.07,2996.34
북구,화명3동,1.99,2996.34
사상구,감전동,2.03,2996.34
사상구,괘법동,2.58,3269.2
사상구,덕포1동,2.68,3269.2
사상구,덕포2동,2.62,3269.2
사상구,모라1동,2.29,4094.51
사상구,모라3동,2.7,4094.51
사상구,삼락동,2.59,4094.51
사상구,엄궁동,2.36,4356.99
사상구,주례1동,2.31,4356.99
사상구,주례2동,2.4,5066.34
사상구,주례3동,2.36,5066.34
사상구,학장동,2.57,5066.34
사하구,감천1동,2.75,5066.34
사하구,감천2동,2.11,4302.48
사하구,괴정1동,2.74,2512.09
사하구,괴정2동,2.05,2512.09
사하구,괴정3동,2.06,2512.09
사하구,괴정4동,2.71,2512.09
사하구,구평동,2.14,2512.71
사하구,다대1동,2.1,1752.97
사하구,다대2동,2.68,3346.7
사하구,당리동,2.32,3346.7
사하구,신평1동,2.46,2610.44
사하구,신평2동,2.39,2610.44
사하구,장림1동,2.24,2610.44
사하구,장림2동,2.34,2610.44
사하구,하단1동,2.5,3245.25
사하구,하단2동,2.2,3206.44
서구,남부민1동,2.2,3206.44
서구,남부민2동,2.27,2021.74
서구,동대신1동,2.54,2021.74
서구,동대신2동,2.58,1940.17
서구,동대신3동,2.51,1940.17
서구,부민동,2.49,2893.77
서구,서대신1동,2.35,2893.77
서구,서대신3동,2.73,2767.21
서구,서대신4동,2.58,1776.75
서구,아미동,2.08,1776.75
서구,암남동,1.95,1987.19
서구,초장동,2.11,1987.19
서구,충무동,2.2,1987.19
수영구,광안1동,2.18,2712.37
수영구,광안2동,2.04,3009.99
수영구,광안3동,2.39,3009.99
수영구,광안4동,2.51,3158.53
수영구,남천1동,2.28,3009.99
수영구,남천2동,1.74,4371.19
수영구,망미1동,2.62,4371.19
수영구,망미2동,2.47,4224.29
수영구,민락동,2.42,3727.11
수영구,수영동,2.18,3765.47
연제구,거제1동,2.52,3738.27
연제구,거제2동,2.58,3738.27
연제구,거제3동,2.48,2736.71
연제구,거제4동,2.12,3699.36
연제구,연산1동,2.48,3781.99
연제구,연산2동,2.14,3158.04
연제구,연산3동,2.73,4229.53
연제구,연산4동,2.97,4229.53
연제구,연산5동,2.16,3110.68
연제구,연산6동,2.45,3608.595556
연제구,연산8동,1.99,3377.67
연제구,연산9동,2.68,3187.12
영도구,남항동,2.78,3187.12
영도구,동삼1동,2.26,3187.12
영도구,동삼2동,2.63,3187.12
영도구,동삼3동,2.45,3026.54
영도구,봉래1동,2.36,3026.54
영도구,봉래2동,2.1,3026.54
영도구,신선동,2.07,3026.54
영도구,영선1동,1.81,3026.54
