운영형태,관리기관명,주차장명,주차장관리번호,소재지지번주소,소재지도로명주소,전화번호,주차장유형,주차구획수,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,급지구분,주차기본요금,1일주차권요금,월정기권요금,위도,경도,데이터기준일자,주차장구분,부제시행구분,운영요일,요금정보,주차기본시간,추가단위시간,추가단위요금,1일주차권요금적용시간,결제방법,특기사항,실시간주차면수
구(군)직영,부산광역시 사상구청,감전동주변,2010000013,-,사상구 감전동 589-2,051-310-4501,노외,26,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,4,0,0,40000,-,-,08/27/2015,공영,-,-,-,10,10,0,-,-,-,-
구(군)직영,부산광역시 사상구청,장성주차장,2010000015,-,사상구 주례2동 92-278,051-310-4501,노외,16,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,4,0,0,40000,-,-,08/27/2015,공영,-,-,-,10,10,0,-,-,-,-
민간위탁,부산광역시 사상구청,엄궁초등학교지하주차장,2010000016,사상구 엄궁로191번길 23 (엄궁동 47),-,051-310-4503,노외,93,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,4,100,2400,52000,197647.4346,181411.6867,01/18/2019,공영,-,-,-,10,10,100,-,-,-,-
구(군)직영,부산광역시 사상구청,일신주택주변,2011000003,-,사상구 주례3동 545-3,051-310-4501,노외,10,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,4,0,0,40000,-,-,08/27/2015,공영,-,-,-,10,10,0,-,-,-,-
구(군)직영,부산광역시 사상구청,주례중학교주변,2012000004,-,사상구 주례2동 82-13,051-310-4501,노외,8,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,4,0,0,40000,-,-,08/15/2014,공영,-,-,-,10,10,0,-,-,-,-
민간위탁,부산광역시 사상구청,모라1동행정복지센터주변,2007001725,사상구 백양대로 949-6 (모라동 1344-5),-,051-310-4502,노상,156,8:00,20:00,8:00,15:00,0:00,0:00,4,100,2400,0,199225.6792,188475.1854,12/12/2018,공영,-,-,-,10,10,100,-,-,-,-
민간위탁,부산광역시 사상구청,학장동행정복지센터,2008000014,사상구 학감대로147번길 11 (학장동 386-1),-,051-310-4503,노상,146,8:00,20:00,8:00,15:00,0:00,0:00,4,100,2400,0,198902.2668,183595.351,01/18/2019,공영,-,-,-,10,10,100,-,-,-,-
민간위탁,부산광역시 사상구청,삼락재첩거리주변,2009000001,사상구 낙동대로1518번길 33 (삼락동 70-21),-,051-310-4502,노상,137,8:00,20:00,8:00,15:00,0:00,0:00,4,100,2400,0,198930.2071,188854.099,12/12/2018,공영,-,-,-,10,10,100,-,-,-,-
구(군)직영,부산광역시 사상구청,서감남길주변,2009000006,-,사상구 감전동 806-2,051-310-4501,노외,12,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,4,0,0,0,-,-,08/27/2015,공영,-,-,-,10,10,0,-,-,-,-
구(군)직영,부산광역시 사상구청,백양고가도로주변,2009000009,-,사상구 주례1동 340,051-310-4501,노외,23,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,4,0,0,40000,-,-,08/15/2014,공영,-,-,-,10,10,0,-,-,-,-
구(군)직영,부산광역시 사상구청,동주중학교주변,2009000013,-,사상구 주례3동 1262,051-310-4501,노외,37,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,4,0,0,40000,-,-,08/27/2015,공영,-,-,-,10,10,0,-,-,-,-
구(군)직영,부산광역시 사상구청,동주윗길주변,2009000014,-,사상구 주례3동 545-18,051-310-4501,노외,5,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,4,0,0,40000,-,-,08/27/2015,공영,-,-,-,10,10,0,-,-,-,-
시설관리공단위탁,부산광역시 사상구청,학장천복개,2007001468,-,사상구 주례3동 1233-7,051-860-7711,노외,275,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,3,200,4700,90000,-,-,02/04/2019,공영,-,-,-,10,10,200,-,-,-,-
구(군)직영,부산광역시 기장군청,용수리 유휴부지 활용 노외공영주차장,2018000003,기장군,-,-,노외,12,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,-,-,-,-,-,-,11/01/2018,공영,-,-,-,10,10,-,-,-,-,-
민간운영,부산광역시 기장군청,동부근린공원인근 노외 주차장,2008000009,-,기장군 기장읍 151-8,051-792-4719,노외,100,0:00,24:00:00,-,-,-,-,3,200,4700,40000,-,-,08/05/2014,공영,-,-,-,10,10,200,-,-,-,-
구(군)직영,부산광역시 기장군청,백길마을 공영주차장,2018000002,기장군,-,-,노외,25,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,-,-,-,-,-,-,11/01/2018,공영,-,-,-,10,10,-,-,-,-,-
시설관리공단위탁,부산광역시 기장군청,정관7로 노상주차장,2018000004,기장군,-,-,노상,13,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,-,-,-,-,-,-,11/01/2018,공영,-,-,-,10,10,-,-,-,-,-
민간운영,부산광역시 기장군청,기장 제1공영주차장,2010000006,-,기장군 기장읍 280-9,051-792-4719,노외,178,0:00,24:00:00,-,-,-,-,2,200,8000,160000,-,-,08/05/2014,공영,-,-,-,10,10,200,-,-,-,-
민간운영,부산광역시 기장군청,3구역 2소,2008000010,-,기장군 기장읍 38-0,051-792-4719,노상,30,9:00,20:00,-,-,-,-,2,200,8000,0,-,-,08/05/2014,공영,-,-,-,10,10,200,-,-,-,-
민간운영,부산광역시 기장군청,3구역 3소,2008000011,-,기장군 기장읍 124-3 124-3,051-792-4719,노상,25,9:00,20:00,-,-,-,-,2,200,8000,0,-,-,08/05/2014,공영,-,-,-,10,10,200,-,-,-,-
민간운영,부산광역시 기장군청,1구역 1소,2009000001,-,기장군 기장읍 278-3,051-792-4719,노상,34,9:00,20:00,-,-,-,-,2,200,8000,0,-,-,08/05/2014,공영,-,-,-,10,10,200,-,-,-,-
구(군)직영,부산광역시 기장군청,임랑해수욕장 주변(행정봉사실 옆),2016000001,-,기장군 장안읍 1-5,-,노외,51,0:00,0:00,0:00,0:00,0:00,0:00,기타,0,0,0,-,-,04/27/2016,공영,-,-,-,10,10,0,-,-,-,-
구(군)직영,부산광역시 기장군청,장안읍 임랑리 아름마을,2016000002,-,기장군 장안읍 380-5,-,노외,17,0:00,0:00,0:00,0:00,0:00,0:00,기타,0,0,0,-,-,04/27/2016,공영,-,-,-,10,10,0,-,-,-,-
구(군)직영,부산광역시 기장군청,장안사 진입도로변,2016000003,-,기장군 장안읍 686-1,-,노외,106,0:00,0:00,0:00,0:00,0:00,0:00,기타,0,0,0,-,-,04/27/2016,공영,-,-,-,10,10,0,-,-,-,-
구(군)직영,부산광역시 기장군청,길천마을,2016000004,-,기장군 장안읍 255-8,-,노외,55,0:00,0:00,0:00,0:00,0:00,0:00,기타,0,0,0,-,-,04/27/2016,공영,-,-,-,10,10,0,-,-,-,-
구(군)직영,부산광역시 기장군청,오리 대룡마을,2016000005,-,기장군 장안읍 141-8,-,노외,37,0:00,0:00,0:00,0:00,0:00,0:00,기타,0,0,0,-,-,04/27/2016,공영,-,-,-,10,10,0,-,-,-,-
구(군)직영,부산광역시 기장군청,좌천 재래시장,2016000006,-,기장군 장안읍 45-8,-,노외,55,0:00,0:00,0:00,0:00,0:00,0:00,기타,0,0,0,-,-,04/27/2016,공영,-,-,-,10,10,0,-,-,-,-
구(군)직영,부산광역시 기장군청,상장안마을 공영주차장,2016000007,-,기장군 장안읍 412-3,-,노외,35,0:00,0:00,0:00,0:00,0:00,0:00,기타,0,0,0,-,-,04/27/2016,공영,-,-,-,10,10,0,-,-,-,-
구(군)직영,부산광역시 기장군청,하장안마을 공영주차장,2016000008,-,기장군 장안읍 120-3,-,노외,28,0:00,0:00,0:00,0:00,0:00,0:00,기타,0,0,0,-,-,04/27/2016,공영,-,-,-,10,10,0,-,-,-,-
구(군)직영,부산광역시 기장군청,마지마을 공영주차장,2016000009,-,기장군 철마면 304-3,-,노외,29,0:00,0:00,0:00,0:00,0:00,0:00,기타,0,0,0,-,-,04/27/2016,공영,-,-,-,10,10,0,-,-,-,-
구(군)직영,부산광역시 기장군청,일광해수욕장 주변,2016000010,-,기장군 일광면 720,-,노상,52,0:00,0:00,0:00,0:00,0:00,0:00,기타,0,0,0,-,-,04/27/2016,공영,-,-,-,10,10,0,-,-,-,-
구(군)직영,부산광역시 기장군청,한신아파트 앞 주변 이면도로,2016000011,-,기장군 기장읍 484,-,노상,18,0:00,0:00,0:00,0:00,0:00,0:00,기타,0,0,0,-,-,04/27/2016,공영,-,-,-,10,10,0,-,-,-,-
구(군)직영,부산광역시 기장군청,동산그린타워 주변 이면도로,2016000012,-,기장군 기장읍 448,-,노상,63,0:00,0:00,0:00,0:00,0:00,0:00,기타,0,0,0,-,-,04/27/2016,공영,-,-,-,10,10,0,-,-,-,-
구(군)직영,부산광역시 기장군청,포스코아파트 앞 주변도로,2016000013,기장군 차성동로116번길 1 (기장읍 동부리 374-16),-,-,노상,13,0:00,0:00,0:00,0:00,0:00,0:00,기타,0,0,0,-,-,04/27/2016,공영,-,-,-,10,10,0,-,-,-,-
구(군)직영,부산광역시 기장군청,청강리 기장병원 주변 이면도로,2016000014,-,기장군 기장읍 305,-,노상,190,0:00,0:00,0:00,0:00,0:00,0:00,기타,0,0,0,-,-,09/20/2019,공영,-,-,-,10,10,0,-,-,-,-
구(군)직영,부산광역시 기장군청,일광면사무소 주변,2016000015,-,기장군 일광면 54-2,-,노상,30,0:00,0:00,0:00,0:00,0:00,0:00,기타,0,0,0,-,-,04/27/2016,공영,-,-,-,10,10,0,-,-,-,-
구(군)직영,부산광역시 기장군청,정관면 달산리 성림아파트 전면도로,2016000016,기장군 정관로 744-41 (정관읍 달산리 141-5),-,-,노상,8,0:00,0:00,0:00,0:00,0:00,0:00,기타,0,0,0,-,-,04/27/2016,공영,-,-,-,10,10,0,-,-,-,-
구(군)직영,부산광역시 사상구청,엄궁동우체국주변,2007001788,-,사상구 엄궁동 522-7,051-310-4501,노외,7,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,4,0,0,40000,-,-,08/27/2015,공영,-,-,-,10,10,0,-,-,-,-
민간위탁,부산광역시 사상구청,감전중천주변,2007011323,사상구 새벽시장로56번가길 63 (감전동 150-1),-,051-310-4503,노상,189,8:00,20:00,8:00,15:00,0:00,0:00,4,100,2400,0,197881.1183,184302.9936,12/06/2019,공영,-,-,-,10,10,100,-,-,-,-
시설관리공단위탁,부산광역시 사상구청,도시철도 냉정역,2007011149,-,사상구 주례2동 1233-1,010-8521-2233,노외,82,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,3,200,4700,90000,-,-,12/27/2018,공영,-,-,-,10,10,200,-,-,-,-
구(군)직영,부산광역시 사상구청,엄광길주변,2007001421,-,사상구 주례2동 1285-18,051-310-4501,노외,9,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,4,0,0,40000,-,-,08/27/2015,공영,-,-,-,10,10,0,-,-,-,-
구(군)직영,부산광역시 사상구청,덕포시장주변,2007001780,-,사상구 덕포2동 419-2,051-310-4501,노외,23,0:00,24:00:00,0:00,24:00:00,0:00,24:00:00,4,0,0,40000,-,-,08/27/2015,공영,-,-,-,10,10,0,-,-,-,-
민간위탁,부산광역시 사상구청,동영공업주변,2007001207,사상구 감전천로 84 (학장동 748-9),-,051-310-4503,노상,414,8:00,20:00,8:00,15:00,0:00,0:00,4,100,2400,0,197937.1098,182933.5605,06/03/2019,공영,-,-,-,10,10,100,-,-,-,-
민간위탁,부산광역시 사상구청,위생처리장주변,2007001169,사상구 낙동대로943번길 157 (감전동 509-11),-,051-310-4502,노상,271,8:00,20:00,8:00,15:00,0:00,0:00,4,100,2400,0,197276.0713,182984.2702,01/22/2020,공영,-,-,-,10,10,100,-,-,-,-
민간위탁,부산광역시 사상구청,학장지구대주변,2007001147,사상구 학장로135번길 24-9 (학장동 237-2),-,051-310-4502,노상,225,8:00,20:00,8:00,15:00,0:00,0:00,4,100,2400,0,198593.162,183707.1632,05/30/2019,공영,-,-,-,10,10,100,-,-,-,-
