시군구,읍면동,수소,전기
강서구,강동동 ,6,71
강서구,구랑동 ,2,35
강서구,녹산동 ,2,32
강서구,눌차동 ,0,15
강서구,대저1동 ,4,290
강서구,대저2동 ,10,972
강서구,대항동 ,0,11
강서구,동선동 ,3,23
강서구,명지동 ,80,2270
강서구,미음동 ,1,59
강서구,범방동 ,1,34
강서구,봉림동 ,1,32
강서구,생곡동 ,2,35
강서구,성북동 ,0,26
강서구,송정동 ,13,184
강서구,식만동 ,3,9
강서구,신호동 ,19,297
강서구,죽동동 ,1,18
강서구,죽림동 ,3,22
강서구,지사동 ,18,194
강서구,천성동 ,0,15
강서구,화전동 ,8,143
금정구,구서동 ,20,1075
금정구,금사동 ,1,64
금정구,금성동 ,1,21
금정구,남산동 ,7,324
금정구,노포동 ,0,60
금정구,두구동 ,1,65
금정구,부곡동 ,24,785
금정구,서동 ,1,199
금정구,오륜동 ,0,1
금정구,장전동 ,22,829
금정구,청룡동 ,10,168
금정구,회동동 ,0,44
기장군,기장읍 ,18,845
기장군,일광면 ,0,0
기장군,일광읍 ,21,832
기장군,장안읍 ,7,298
기장군,정관면 ,0,0
기장군,정관읍 ,55,1942
기장군,철마면 ,3,136
남구,감만동 ,9,225
남구,대연동 ,38,1646
남구,문현동 ,18,678
남구,용당동 ,3,186
남구,용호동 ,29,1637
남구,우암동 ,1,116
동구,범일동 ,10,3586
동구,수정동 ,5,184
동구,좌천동 ,4,150
동구,초량동 ,11,4233
동래구,낙민동 ,6,379
동래구,명륜동 ,11,631
동래구,명장동 ,8,344
동래구,복천동 ,4,91
동래구,사직동 ,23,1046
동래구,수안동 ,4,193
동래구,안락동 ,8,638
동래구,온천동 ,36,1478
동래구,칠산동 ,2,32
부산진구,가야동 ,46,421
부산진구,개금동 ,25,667
부산진구,당감동 ,15,492
부산진구,범전동 ,3,130
부산진구,범천동 ,9,434
부산진구,부암동 ,16,618
부산진구,부전동 ,19,5460
부산진구,양정동 ,8,445
부산진구,연지동 ,10,286
부산진구,전포동 ,22,574
부산진구,초읍동 ,9,342
북구,구포동 ,19,653
북구,금곡동 ,17,476
북구,덕천동 ,6,293
북구,만덕동 ,26,929
북구,화명동 ,44,1773
사상구,감전동 ,12,411
사상구,괘법동 ,8,291
사상구,덕포동 ,8,233
사상구,모라동 ,13,384
사상구,삼락동 ,2,81
사상구,엄궁동 ,22,400
사상구,주례동 ,21,615
사상구,학장동 ,25,378
사하구,감천동 ,2,174
사하구,괴정동 ,17,614
사하구,구평동 ,8,267
사하구,다대동 ,35,841
사하구,당리동 ,8,376
사하구,신평동 ,10,476
사하구,장림동 ,14,421
사하구,하단동 ,24,593
서구,남부민동 ,2,94
서구,동대신동1가 ,2,66
서구,동대신동2가 ,4,71
서구,동대신동3가 ,2,65
서구,부민동1가 ,0,18
서구,부민동2가 ,0,4
서구,부민동3가 ,1,34
서구,부용동1가 ,0,16
서구,부용동2가 ,0,13
서구,서대신동1가 ,3,104
서구,서대신동2가 ,5,122
서구,서대신동3가 ,19,261
서구,아미동1가 ,0,5
서구,아미동2가 ,1,27
서구,암남동 ,7,161
서구,초장동 ,2,19
서구,충무동1가 ,1,10
서구,충무동2가 ,1,3
서구,충무동3가 ,0,7
서구,토성동1가 ,1,50
서구,토성동2가 ,0,8
