충전소,충전기,주소,위도,경도
상암수소충전소,1,서울특별시 마포구 하늘공원로 108 ,37.56968508,126.8800727
마곡에코수소충전소,1,서울특별시 강서구 양천로 225 ,37.57301604,126.8292083
오곡수소충전소,1,서울특별시 강서구 벌말로 271 ,37.55584489,126.7681806
H국회수소충전소,1,서울특별시 영등포구 의사당대로 1 ,37.53291197,126.9164039
양재수소충전소,1,서울특별시 서초구 바우뫼로12길 73 ,37.46837777,127.0343737
H강동수소충전소,1,서울특별시 강동구 천호대로 1452 ,37.54506031,127.1700315
서부산NK수소충전소,1,부산광역시 강서구 가락대로 347 ,35.11317111,128.8432912
H부산수소충전소,3,부산광역시 사상구 학감대로 167 ,35.1458644,128.9876515
하이넷부산정관수소충,1,부산광역시 기장군 정관읍 신정관로 187 ,35.32871396,129.2017105
대구혁신도시수소충전소,1,대구광역시 동구 첨단로 120 ,35.88680623,128.7298509
대구관음수소충전소,2,대구광역시 북구 관음로 127 ,35.94290683,128.5415653
하이넷 대구성서수소충전소,1,대구광역시 달서구 성서공단로 97 ,0,0
대구주행시험장수소충전소,1,대구광역시 달성군 구지면 국가산단서로 201 ,35.6470856,128.4006005
하이넷 인천공항T1수소충전소,1,인천광역시 중구 공항동로135번길 233 ,37.44989765,126.4750885
하이넷 인천공항T2수소충전소,2,인천광역시 중구 제2터미널대로 337 ,37.48159714,126.4232768
인천그린수소충전소,1,인천광역시 중구 축항대로290번길 124 ,37.43866249,126.6200137
H인천수소충전소,1,인천광역시 남동구 청능대로468번길 1 ,37.39866898,126.7115432
인천태양수소충전소,1,인천광역시 서구 봉수대로 258 ,37.49881367,126.661882
H벽진수소충전소,1,광주광역시 서구 눌재로 589 ,0,0
H임암수소충전소,1,광주광역시 남구 김치로 60 ,35.10966818,126.8666534
H월출수소충전소,1,광주광역시 북구 삼소로270번길 25 ,35.23857053,126.8653956
장등수소버스충전소,2,광주광역시 북구 장운길 55 ,35.20027097,126.9332052
진곡수소충전소,1,광주광역시 광산구 진곡산단중앙로 55 ,35.19490939,126.7895876
동곡수소충전소,1,광주광역시 광산구 동곡로 326 ,35.11122459,126.780161
대전중도가스수소충전소,1,대전광역시 동구 대전로 295 ,36.29449951,127.4605768
낭월수소충전소,2,대전광역시 동구 금산로 455 ,36.26816724,127.4787693
학하수소충전소,1,대전광역시 유성구 유성대로 437 ,36.33589704,127.3162936
하이넷 자운대수소충전소,1,대전광역시 유성구 자운로 62 ,36.39842549,127.3469249
대전유성수소충전소,2,대전광역시 유성구 현충원로 168 ,36.35975697,127.2904904
하이넷 신탄진휴게소수소충전소,1,대전광역시 대덕구 산업단지로 27 ,36.42813112,127.418572
신대수소충전소,2,대전광역시 대덕구 신탄진로315번길 72 ,36.4087365,127.4219928
옥동복합수소충전소,1,울산광역시 남구 남부순환도로 465 ,35.5228429,129.2912
울산투게더수소충전소,2,울산광역시 남구 신화로 99 ,35.52611907,129.3405264
울산에어프로덕츠수소충전소,1,울산광역시 남구 처용로487번길 83 ,35.48350616,129.3582112
경동복합수소충전소,2,울산광역시 북구 북부순환도로 1165 ,35.58113569,129.3575561
울산창평수소충전소,1, 울산 북구 창평동 1098-5,35.61525241,129.3526471
언양휴게소(서울) 수소충전소,1,울산광역시 울주군 언양읍 경부고속도로 44 ,35.59876744,129.1415389
울산그린수소충전소,2,울산광역시 울주군 온산읍 온산로 256 ,35.46368165,129.3343178
신일복합수소충전소,2,울산광역시 울주군 웅촌면 웅촌로 490 ,35.4716991,129.2182584
울산덕하수소충전소,2,울산광역시 울주군 청량읍 온산로 545 ,35.47597202,129.309334
하이넷 세종청사수소충전소,1,세종특별자치시 도움4로 13 ,36.50254492,127.2621102
하이넷 세종대평수소충전소,1,세종특별자치시 종합운동장로 29 ,36.46906249,127.2683184
하이넷 수원영통 수소충전소,1,경기도 수원시 영통구 광교호수로 250 ,37.28652772,127.0784205
성남수소충전소,1,경기도 성남시 중원구 경충대로 2659 ,37.42175776,127.1551762
하이넷광명소하수소,1,경기도 광명시 기아로 115 ,37.43855971,126.8925864
하이넷 평택팽성 수소충전소,1,경기도 평택시 팽성읍 팽성로 226 (라인45 충전소),36.95456503,127.0606858
평택블루에너지수소충전소,1,경기도 평택시 청원로 1413 ,37.05380793,127.0803506
평화수소충전소,1,경기도 평택시 현덕면 서해로 506 ,36.94590319,126.9139005
안산수소e로움충전소,1,경기도 안산시 단원구 첨단로 660 ,37.29603956,126.7934597
고양덕은수소충전소,1,경기도 고양시 덕양구 자유로 86 ,37.58143562,126.855575
원당수소충전소,1,경기도 고양시 덕양구 호국로 989 ,37.67063254,126.8501026
H하남수소충전소,1,경기도 하남시 중부고속도로 117-2 ,37.53103612,127.2086693
하이넷 에버랜드 수소충전소,1,경기도 용인시 처인구 포곡읍 곡현로 74 ,37.29327236,127.2226093
안성휴게소(부산) 수소충전소,1,경기도 안성시 원곡면 경부고속도로 365 ,37.01358184,127.1447156
안성휴게소(서울) 수소충전소,1,경기도 안성시 원곡면 경부고속도로 372 ,37.07677281,127.1324979
안성수소충전소,1,경기도 안성시 영봉로 139 ,37.00071077,127.2811218
하이넷 김포걸포 수소충전소,1,경기도 김포시 감암로 127 ,37.64290394,126.7093791
하이넷 화성동탄 수소충전소,1, ,0,0
하이넷 화성시청 수소충전소,1,경기도 화성시 남양읍 시청로 159 ,37.19749953,126.8302559
화성향남수소충전소,1, ,0,0
여주휴게소(강릉) 수소충전소,1,경기도 여주시 가남읍 여주남로 722 ,37.2377222,127.5683146
하이넷 춘천휴게소(부산) 수소충전소,1,강원도 춘천시 동내면 영서로 1432 ,37.81278537,127.7661311
춘천동내수소충전소,1,강원도 춘천시 동내면 영서로 1632 ,37.82169679,127.7618153
