statNm,statId,chgerId,chgerType,addr,region_2depth_name,region_3depth_name,lat,lng,useTime,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,output,method,zcode,zscode,kind,kindDetail,parkingFree
기장군청,ME000061,1,6,부산광역시 기장군 기장읍 기장대로 560,기장군,기장읍,35.2443,129.2232,,ME,환경부,환경부,1661-9408,0,2.02E+13,2.02E+13,2.02E+13,,50,단독,26,26710,A0,A001,N
장전역 공영주차장,ME174104,1,6,부산광역시 금정구 장전1동 242,금정구,장전동,35.239348,129.0876819,24시간 이용가능,ME,환경부,환경부,1661-9408,1,2.02E+13,2.02E+13,2.02E+13,2.02E+13,50,단독,26,26410,B0,B001,N
동래역 공영주차장 ,ME174105,1,6,부산광역시 동래구 중앙대로 1324,동래구,온천동,35.206922,129.0786666,24시간 이용가능,ME,환경부,환경부,1661-9408,0,2.02E+13,2.02E+13,2.02E+13,,50,단독,26,26260,B0,B001,N
부산진구청 지하1층 주차장,ME174106,1,6,부산광역시 부산진구 시민공원로 30,부산진구,부암동,35.162892,129.0530287,24시간 이용가능,ME,환경부,환경부,1661-9408,0,2.02E+13,2.02E+13,2.02E+13,,50,단독,26,26230,A0,A001,N
부산시민공원 지하 주차장,ME174107,1,6,부산광역시 부산진구 시민공원로 73,부산진구,범전동,35.1651212,129.0562968,24시간 이용가능,ME,환경부,환경부,1661-9408,0,2.02E+13,2.02E+13,2.02E+13,,50,단독,26,26230,B0,B002,N
삼락재첩거리,ME174108,1,6,부산광역시 사상구 낙동대로 1518번길 26,사상구,삼락동,35.1930058,128.985466,24시간 이용가능,ME,환경부,환경부,1661-9408,0,2.02E+13,2.02E+13,2.02E+13,,50,단독,26,26530,B0,B001,N
망미동 공영주차장,ME174109,1,6,부산광역시 수영구 망미동 979-73,수영구,망미동,35.1701378,129.096877,24시간 이용가능,ME,환경부,환경부,1661-9408,0,2.02E+13,2.02E+13,2.02E+13,,50,단독,26,26500,B0,B001,N
수변공원,ME174110,1,6,부산광역시 수영구 민락수변로 95,수영구,민락동,35.1547999,129.1318417,24시간 이용가능,ME,환경부,환경부,1661-9408,0,2.02E+13,2.02E+13,2.02E+13,,50,단독,26,26500,B0,B001,N
부산지방경찰청 앞 민원인 주차장,ME174111,1,6,부산광역시 연제구 중앙대로 999,연제구,연산동,35.1794806,129.0734269,24시간 이용가능,ME,환경부,환경부,1661-9408,1,2.02E+13,2.02E+13,2.02E+13,2.02E+13,50,단독,26,26470,B0,B004,N
부산테크노파크 종합물류경영기술지원센터,ME174112,1,6,부산광역시 영도구 해양로 435-1,영도구,동삼동,35.0729995,129.080228,24시간 이용가능,ME,환경부,환경부,1661-9408,1,2.02E+13,2.02E+13,2.02E+13,2.02E+13,50,단독,26,26200,A0,A004,N
용두산 공영주차장,ME174113,1,6,부산광역시 중구 대청로 116번길 3,중구,대청동,35.1023192,129.0326838,24시간 이용가능,ME,환경부,환경부,1661-9408,0,2.02E+13,2.02E+13,2.02E+13,,50,단독,26,26110,B0,B001,N
중동역 공영주차장,ME174114,1,6,부산광역시 해운대구 해운대로 731,해운대구,중동,35.1668257,129.1699787,24시간 이용가능,ME,환경부,환경부,1661-9408,0,2.02E+13,2.02E+13,2.02E+13,,50,단독,26,26350,B0,B001,N
한국마사회 부산경남지역본부,ME181206,1,6,부산광역시 강서구 가락대로 929,강서구,녹산동,35.15158,128.872972,24시간 이용가능,ME,환경부,환경부,1661-9408,1,2.02E+13,2.02E+13,2.02E+13,,50,단독,26,26440,A0,A003,Y
부산 어린이 대공원,ME181207,1,6,부산광역시 부산진구 성지곡로 3,부산진구,초읍동,35.184608,129.04349,24시간 이용가능,ME,환경부,환경부,1661-9408,0,2.02E+13,2.02E+13,2.02E+13,,50,단독,26,26230,D0,D001,Y
