시도,시군구,읍면동,수소,전기,전기차충전소당 전기차 수
부산광역시,강서구,강동동,6,71,14.2
부산광역시,강서구,구랑동,2,35,17.5
부산광역시,강서구,녹산동,2,32,32.0
부산광역시,강서구,눌차동,0,15,15.0
부산광역시,강서구,대저1동,4,290,24.166666666666668
부산광역시,강서구,대저2동,10,972,28.58823529411765
부산광역시,강서구,대항동,0,11,11.0
부산광역시,강서구,동선동,3,23,23.0
부산광역시,강서구,명지동,80,2270,7.668918918918919
부산광역시,강서구,미음동,1,59,14.75
부산광역시,강서구,범방동,1,34,4.857142857142857
부산광역시,강서구,봉림동,1,32,32.0
부산광역시,강서구,생곡동,2,35,35.0
부산광역시,강서구,성북동,0,26,13.0
부산광역시,강서구,송정동,13,184,3.914893617021277
부산광역시,강서구,식만동,3,9,9.0
부산광역시,강서구,신호동,19,297,8.25
부산광역시,강서구,죽동동,1,18,18.0
부산광역시,강서구,죽림동,3,22,22.0
부산광역시,강서구,지사동,18,194,6.258064516129032
부산광역시,강서구,천성동,0,15,7.5
부산광역시,금정구,화전동,8,143,11.0
부산광역시,금정구,구서동,20,1075,10.96938775510204
부산광역시,금정구,금사동,1,64,3.764705882352941
부산광역시,금정구,금성동,1,21,21.0
부산광역시,금정구,남산동,7,324,81.0
부산광역시,금정구,노포동,0,60,60.0
부산광역시,금정구,두구동,1,65,10.833333333333334
부산광역시,금정구,부곡동,24,785,10.064102564102564
부산광역시,금정구,서동,1,199,33.166666666666664
부산광역시,금정구,선동,0,9,9.0
부산광역시,금정구,오륜동,0,1,1.0
부산광역시,금정구,장전동,22,829,10.49367088607595
부산광역시,금정구,청룡동,10,168,7.0
부산광역시,금정구,회동동,0,44,14.666666666666666
부산광역시,금정구,기장읍,18,845,38.40909090909091
부산광역시,기장군,일광읍,21,832,416.0
부산광역시,기장군,장안읍,7,298,298.0
부산광역시,기장군,정관읍,55,1942,1942.0
부산광역시,남구,철마면,3,136,136.0
부산광역시,남구,감만동,9,225,5.357142857142857
부산광역시,남구,대연동,38,1646,7.585253456221198
부산광역시,남구,문현동,18,678,6.848484848484849
부산광역시,남구,용당동,3,186,7.153846153846154
부산광역시,남구,용호동,29,1637,5.196825396825397
부산광역시,동구,우암동,1,116,3.3142857142857145
부산광역시,동구,범일동,10,3586,65.2
부산광역시,동구,수정동,5,184,8.363636363636363
부산광역시,동구,좌천동,4,150,7.5
부산광역시,동래구,초량동,11,4233,176.375
부산광역시,동래구,낙민동,6,379,9.023809523809524
부산광역시,동래구,명륜동,11,631,7.511904761904762
부산광역시,동래구,명장동,8,344,20.235294117647054
부산광역시,동래구,복천동,4,91,45.5
부산광역시,동래구,사직동,23,1046,10.46
부산광역시,동래구,수안동,4,193,19.3
부산광역시,동래구,안락동,8,638,5.907407407407407
부산광역시,동래구,온천동,36,1478,8.903614457831326
부산광역시,부산진구,칠산동,2,32,32.0
부산광역시,부산진구,가야동,46,421,5.329113924050633
부산광역시,부산진구,개금동,25,667,11.910714285714286
부산광역시,부산진구,당감동,15,492,7.569230769230769
