행정구역,업소명,소재지,전화번호,관리구분
서울 강남구,남서울가스(주),서울 강남구 남부순환로 3154 남서울가스충전소,02-3411-4411,용기+자동차+13kg용기
서울 강남구,대치에너지주식회사,서울 강남구 남부순환로 3179,02-3412-2828,자동차충전
서울 강남구,(주)진양가스,서울 강남구 도곡로 142,02-3463-6811,자동차충전
서울 강남구,강남복지충전소,서울 강남구 밤고개로 200,02-0445-3300,자동차충전
서울 강동구,복지둔촌충전소,서울 강동구 동남로 563,02-0488-4892,자동차충전
서울 강동구,암사충전소,서울 강동구 올림픽로 791 GS칼텍스,02-3427-4244,자동차충전
서울 강동구,(주)경기에너지,서울 강동구 천호대로 1056,02-0485-3305,자동차충전
서울 강동구,복지상일충전소,서울 강동구 천호대로 1452,02-0442-5583,자동차충전
서울 강북구,국제가스공업(주),서울 강북구 덕릉로24길 6,02-0988-5565,자동차충전
서울 강북구,서울와사공업(주),서울 강북구 도봉로 318 SK LPG 충전소,02-0902-1112,자동차충전
서울 강북구,(주)청학에너지,서울 강북구 한천로 833,02-0980-1163,자동차충전
서울 강서구,한경에너지,서울 강서구 개화동로 255 LPG 충전소,02-2064-0786,자동차충전
서울 강서구,복지개화충전소,서울 강서구 개화동로 416,02-2661-5151,자동차충전
서울 강서구,대흥에너지산업(주),서울 강서구 곰달래로24길 19,02-2602-2448,자동차충전
서울 강서구,공항로충전소,서울 강서구 공항대로 468 공항로충전소,02-2653-7211,자동차충전
서울 강서구,활주로충전소,서울 강서구 방화대로 26,02-0676-8289,자동차충전
서울 강서구,강서가스충전소,서울 강서구 벌말로 266(오곡동),02-0682-9100,자동차충전
서울 강서구,오곡동충전소,서울 강서구 벌말로 271,02-0684-9061,자동차충전
서울 강서구,복지마곡충전소,서울 강서구 양천로 200(마곡동),02-2668-2377,자동차충전
서울 강서구,대영가스 충전소,서울 강서구 양천로 242 A동(충전소사무동),02-2659-9520,자동차충전
서울 강서구,대양가스충전소,서울 강서구 양천로 551 대양가스충전소,02-2668-5151,자동차충전
서울 강서구,방화동LPG충전소,서울 강서구 양천로27길 261-40,02-2666-9033,자동차충전
서울 강서구,(주)삼표에너지 김포충전소,서울 강서구 오정로 390,02-2661-3111,용기+탱크+13kg용기
서울 관악구,명화가스(주),서울 관악구 관악로 96,02-0877-1376,자동차충전
서울 관악구,케이와이에너지(주)신림충전소,서울 관악구 신림로 170(신림동),02-0882-3434,자동차충전
서울 광진구,중곡충전소,서울 광진구 동일로 323 중곡충전소,02-0467-4708,자동차충전
서울 광진구,한양에너지(주),서울 광진구 동일로 381 한양에너지(주),02-0467-8341,자동차충전
서울 광진구,해양가스,서울 광진구 자양로 77 해양가스,02-0444-2442,자동차충전
서울 구로구,개봉충전소,서울 구로구 경인로 364 개봉LPG충전소,02-2685-2352,자동차충전
서울 구로구,한일가스산업(주),서울 구로구 경인로 537 한일가스충전소,02-2675-2614,자동차충전
서울 구로구,대성산업(주)오류동충전소,서울 구로구 경인로8길 31,02-2612-0039,용기+자동차+13kg용기
서울 구로구,동일석유(주)남부충전소,서울 구로구 시흥대로 573,02-0830-0341,자동차충전
서울 구로구,오승프라임산업(주),서울 구로구 신정로 59 궁동 LPG충전소,02-2618-5500,자동차충전
서울 금천구,(주)중앙에너비스 삼중가스지점,서울 금천구 시흥대로 316,02-8707-4587,자동차충전
서울 노원구,신성에너지주식회사,서울 노원구 동일로 1113 신성에너지(주),02-0972-2254,자동차충전
서울 노원구,(주)노일가스,서울 노원구 동일로 1601 동일로가스,02-0934-8851,자동차충전
서울 노원구,복지노원충전소,서울 노원구 동일로 1778,02-0934-9077,자동차충전
서울 노원구,(주)평안에너지상계충전소,서울 노원구 동일로210길 86 상계충전소,02-0972-5274,자동차충전
서울 노원구,태능가스(주),서울 노원구 화랑로 405 태능가스충전소,02-0972-3031,자동차충전
서울 노원구,복지공릉충전소,서울 노원구 화랑로 826 (공릉동),02-3296-2903,자동차충전
서울 도봉구,복지강북충전소,서울 도봉구 도봉로 430 (창동),02-0902-1231,자동차충전
서울 도봉구,한영가스충전소,서울 도봉구 도봉로 627 (쌍문동),02-0994-1181,자동차충전
서울 도봉구,(주)평안에너지 도봉충전소,서울 도봉구 도봉로 983,02-3494-5185,자동차충전
서울 동대문구,수도에너지(주)동서울충전소,서울 동대문구 망우로 57,02-2244-6666,자동차충전
서울 동대문구,장안동가스충전소,서울 동대문구 천호대로 353 장안동가스충전소,02-2214-5151,자동차충전
서울 동대문구,복지장안충전소,서울 동대문구 한천로 169,02-2213-5711,자동차충전
서울 동대문구,(주)홍릉가스충전소,서울 동대문구 회기로 44 ,02-0962-9100,자동차충전
서울 동작구,동일석유(주)동주충전소,서울 동작구 상도로 74 가동,02-0821-2236,자동차충전
서울 서대문구,연일가스산업(주),서울 서대문구 수색로 123 연일가스주유소,02-3075-4114,자동차충전
서울 서초구,서초충전소,서울 서초구 남부순환로 2224,02-0582-3636,자동차충전
서울 서초구,수도석유(주)방배충전소,서울 서초구 동작대로 26 수도석유(주)방배충전소,02-0582-4141,자동차충전
서울 서초구,(주)에이치앤디이-서울만남의광장,서울 서초구 양재대로12길 73-71 만남의광장,02-0573-7430,자동차충전
서울 서초구,(주)영동가스,서울 서초구 잠원로 181 영동가스,02-0534-2350,자동차충전
서울 성동구,대성산업(주)동부충전소,서울 성동구 광나루로 200,02-0463-2202,자동차충전
서울 성동구,서울숲충전소,서울 성동구 왕십리로 124 (성수동1가),02-0463-5616,자동차충전
서울 성북구,우일에너지(주),서울 성북구 종암로 201 우일에너지,02-0913-8722,자동차충전
서울 성북구,(주)장위가스,서울 성북구 화랑로 291,02-0916-3233,자동차충전
서울 송파구,오금가스충전소,서울 송파구 마천로 103 오금가스충전소,02-0402-5151,자동차충전
서울 송파구,복지잠실충전소,서울 송파구 삼전로 47 잠실복지충전소,02-0415-3311,자동차충전
서울 송파구,홍익에너지(주),서울 송파구 석촌호수로 242 홍익에너지LPG주유소,02-0412-5151,자동차충전
서울 송파구,MG새마을금고 송파충전소,서울 송파구 위례중앙로 37,02-0449-9123,자동차충전
서울 양천구,비케이서비스산업(주),서울 양천구 남부순환로 311 LPG충전소,02-2692-9909,자동차충전
서울 양천구,(주)대흥가스,서울 양천구 남부순환로 411 LPG충전소,02-2693-0535,자동차충전
서울 양천구,(주)남양가스,서울 양천구 남부순환로 538 남양가스충전소,02-2603-2345,자동차충전
서울 양천구,목동충전소,서울 양천구 목동로 193 SK충전소,02-2604-6141,자동차충전
서울 양천구,수도에너지(주),서울 양천구 신정로 146,02-2060-7160,자동차충전
서울 양천구,복지신정충전소,"서울 양천구 안양천로 669 (신정동, 외5필지)",02-2645-4600,자동차충전
서울 영등포구,양평동충전소,서울 영등포구 선유로 157 LPG 충전소,02-2672-1175,자동차충전
서울 영등포구,(주)세지,서울 영등포구 선유로 37 세지충전소,02-2677-9775,자동차충전
서울 영등포구,기린에너지,서울 영등포구 선유로52길 5 기린충전소,02-2068-7800,자동차충전
서울 은평구,(주)삼표에너지 수색충전소,서울 은평구 수색로 181 삼표에너지,02-0372-7113,자동차충전
서울 은평구,신흥에너지산업(주),서울 은평구 수색로 199 신흥에너지산업,02-0373-0051,자동차충전
서울 은평구,은평서부충전소,서울 은평구 통일로 1186 은평서부충전소 제1동,02-0352-4806,자동차충전
서울 중랑구,(주)풍림에너지,서울 중랑구 동일로 553,02-0434-0557,자동차충전
서울 중랑구,동일석유(주)황금충전소,서울 중랑구 망우로 209,02-0435-2627,자동차충전
서울 중랑구,망우충전소,서울 중랑구 망우로 449,02-0432-5400,자동차충전
서울 중랑구,신내LPG충전소,서울 중랑구 용마산로 691,02-2208-5151,자동차충전
부산 강서구,개인택시신공항충전소,부산 강서구 경전철로188번길 95 (대저동),051-0941-3485,자동차충전
부산 강서구,부산공항LPG충전소,부산 강서구 공항로 459(대저동),051-0973-4036,자동차충전
부산 강서구,신항만에너지,부산 강서구 낙동남로 507 (녹산동),051-0973-7625,자동차충전
부산 강서구,(주)지원네트웍스 부산강서LPG충전소,부산 강서구 낙동북로 310 (대저1동),051-0972-0245,자동차충전
부산 강서구,신명지에너지,부산 강서구 르노삼성대로 560,051-0271-2464,자동차충전
부산 강서구,르노삼성자동차(주),부산 강서구 르노삼성대로 61(신호동) 안전팀,051-0979-9085,자동차충전
부산 강서구,신항만충전소,부산 강서구 송정동 산 71-2번지외 5필지,051-0831-8219,자동차충전
부산 강서구,(주)배성에너지 대저충전소,부산 강서구 체육공원로 24 (대저1동),051-0941-9808,자동차충전
부산 강서구,죽림LPG충전소,부산 강서구 호계로 102 (죽림동),051-0941-2020,자동차충전
부산 강서구,가락충전소,부산 강서구 호계로 195 (죽동동),051-0971-3430,자동차충전
부산 금정구,(주)해연,부산 금정구 개좌로 225-15 (회동동),051-0528-1133,용기+탱크+13kg용기
부산 금정구,(주)신진가스,부산 금정구 반송로 433 (금사동),051-0523-7948,자동차충전
부산 금정구,신한가스(주),부산 금정구 반송로 494,051-0521-0300,자동차충전
부산 기장군,마라톤가스(주)청강충전소,부산 기장군 기장읍 기장대로 333 A동,051-0724-5672,자동차충전
부산 기장군,동양가스산업(주),부산 기장군 기장읍 기장대로 530 (청강리),051-0721-6838,자동차충전
부산 기장군,한국에너지산업(주),부산 기장군 기장읍 기장대로413번길 38,051-0722-5152,용기+자동차+탱크+13kg용기
부산 기장군,이원기장오렌지충전소,부산 기장군 기장읍 반송로 1415,051-0722-9489,자동차충전
부산 기장군,아시아드충전소,부산 기장군 일광면 기장대로 1000 아시아드LPG충전소,051-0722-8701,자동차충전
부산 기장군,월드컵충전소,부산 기장군 일광면 기장대로 1216 월드컵충전소,051-0727-1212,자동차+13kg용기
부산 기장군,(주)금륜에너지 삼성가스충전소,부산 기장군 일광면 기장대로 693,051-0722-5170,자동차충전
부산 기장군,선암가스충전소,부산 기장군 장안읍 기장대로 1451 선암LPG충전소,051-0727-1212,자동차+13kg용기
부산 기장군,KH에너지(주)직영장안충전소(부산방향),부산 기장군 장안읍 동해고속도로 25,051-0728-5157,자동차충전
부산 기장군,KH에너지(주)직영장안충전소(울산방향),부산 기장군 장안읍 동해고속도로 26,051-0728-5157,자동차충전
부산 기장군,정림에너지,부산 기장군 정관읍 신정관로 187 정림에너지,051-0727-7867,자동차충전
부산 기장군,광신개발(주)직영 정관가스충전소,부산 기장군 정관읍 정관로 907,051-0728-6228,자동차+13kg용기
부산 기장군,곰내터널충전소,부산 기장군 정관읍 정관산업로 1143,051-0728-2311,자동차충전
부산 기장군,개인택시동부산충전소,부산 기장군 철마면 반송로 1022 (고촌리),051-0723-2090,자동차충전
부산 남구,광진기업(주)대연영업소,부산 남구 수영로 212(대연동),051-0627-3133,자동차충전
부산 동구,개인택시남부LPG충전소,부산 동구 성남로 42(좌천동),051-0634-6500,자동차충전
부산 동구,(주)대양씨앤씨(구:녹색에너지 범일영업소),부산 동구 성남로 74-3(범일동),051-0644-9745,용기+13kg용기
부산 동구,한국가스산업(주),부산 동구 자성로133번길 39 (범일동),051-0635-3300,용기+자동차+13kg용기
부산 동구,마라톤가스(주)초량충전소,부산 동구 중앙대로 310(초량동),051-0463-5921,자동차충전
부산 동구,개인택시 중앙LPG충전소,부산 동구 중앙대로 334 (초량동),051-0463-4181,자동차충전
부산 동구,문화가스충전소,부산 동구 중앙대로 348(초량동),051-0463-5111,자동차충전
부산 동래구,(주)삼성에너지,부산 동래구 명륜로 48 (수안동),051-0555-3100,용기+자동차+13kg용기
부산 북구,비케이에너지(주)동양가스충전소,부산 북구 금곡대로 103 GS칼텍스동양가스주유소,051-0333-0036,용기+자동차+13kg용기
부산 북구,개인택시 금곡역충전소,부산 북구 금곡대로 704 (금곡동),051-0365-4665,자동차충전
부산 북구,(주)삼보,부산 북구 만덕대로 327-0 (주)삼보주유소,051-0336-2000,자동차충전
부산 북구,한국가스산업(주)구포충전소,부산 북구 사상로 613 (구포동),051-0304-6051,자동차충전
부산 사상구,한국가스산업(주)사상영업소,부산 사상구 가야대로 157(감전동),051-0326-3131,용기+자동차+13kg용기
부산 사상구,극동유화(주)주례충전소,부산 사상구 가야대로 203(주례동),051-0322-4779,자동차+13kg용기
부산 사상구,팔성가스충전소,부산 사상구 가야대로 75(감전동),051-0314-3555,자동차+13kg용기
부산 사상구,(주)MS가스,부산 사상구 가야대로176번길 92 (주)MS가스,051-0325-5501,용기+13kg용기
부산 사상구,(주)성은에너지제2충전소,부산 사상구 강변대로 412(엄궁동),051-0313-4028,자동차충전
부산 사상구,마라톤가스(주)서부충전소,부산 사상구 낙동대로 1384 (삼락동),051-0305-7948,자동차충전
부산 사상구,극동유화(주)감전충전소,부산 사상구 낙동대로 878(감전동),051-0320-8500,용기+자동차+탱크+13kg용기
부산 사상구,광신가스(주),부산 사상구 낙동대로 939 (감전동),051-0311-0131,용기+자동차+13kg용기
부산 사상구,대성산업(주)부산대성충전소,부산 사상구 사상로 339(덕포2동),051-0303-4747,용기+자동차+13kg용기
부산 사상구,(주)덕양에너지 직영 구덕산충전소,부산 사상구 학감대로 102 (학장동),051-0312-0085,자동차충전
부산 사상구,주식회사엠에스가스학장충전소,부산 사상구 학장로 165 (학장동),051-0315-7174,자동차충전
부산 사상구,(사)부산광역시 개인택시운송사업조합 사상LPG충전소,부산 사상구 학장로 21(학장동),051-0327-9446,자동차충전
부산 사하구,광진기업(주)장림영업소,부산 사하구 다대로 309(장림2동),051-0263-3131,용기+자동차+13kg용기
부산 사하구,(주)신성에너지은광가스충전소,부산 사하구 사하로 90 (감천동),051-0206-3326,용기+자동차+13kg용기
부산 사하구,광신가스(주)을숙도대로충전소,부산 사하구 을숙도대로 530 (신평동),051-0205-8800,자동차충전
부산 사하구,개인택시사하엘피지충전소,부산 사하구 을숙도대로 583(신평동),051-0204-8630,자동차충전
부산 사하구,부산엘피지충전소,부산 사하구 장림로 139,051-0264-9752,자동차충전
부산 사하구,(주)신광에너지 장림충전소,부산 사하구 장림로 278 (장림동),051-0263-7742,자동차충전
부산 서구,(주)신광에너지,부산 서구 충무대로 180 (남부민동),051-0248-7365,용기+자동차+13kg용기
부산 수영구,(주)수영에너지산업,부산 수영구 수영로 749 (수영동),051-0751-3436,자동차충전
부산 연제구,마라톤가스(주)새동래충전소,부산 연제구 명륜로 15 (거제동),051-0501-7635,자동차충전
부산 연제구,부산개인택시엘피지충전소,부산 연제구 월드컵대로 399 (거제동),051-0507-8983,자동차충전
부산 영도구,(주)태종에너지,부산 영도구 영선대로 41 (영선동4가),051-0415-1837,자동차충전
