운영기관,충전소,충전기ID,충전기타입,지역,시군구,행정동,주소,이용가능시간,이용자 제한,충전용량,비고
환경부(한국자동차환경협회),kbs 부산방송총국,1,DC차데모+AC3상+DC콤보,부산광역시 ,수영구 ,남천동,부산광역시 수영구 수영로 429,24시간 이용가능,,200kW멀티,
환경부(한국자동차환경협회),kbs 부산방송총국,11,DC콤보,부산광역시 ,수영구 ,남천동,부산광역시 수영구 수영로 429,24시간 이용가능,,200kW멀티,
환경부(한국자동차환경협회),kbs 부산방송총국,12,DC콤보,부산광역시 ,수영구 ,남천동,부산광역시 수영구 수영로 429,24시간 이용가능,,200kW멀티,
환경부(한국자동차환경협회),국립부산과학관,11,DC콤보,부산광역시 ,기장군 ,기장읍 ,부산광역시 기장군 기장읍 석산리 293,24시간 이용가능,,100kW멀티,
환경부(한국자동차환경협회),국립부산과학관,12,DC콤보,부산광역시 ,기장군 ,기장읍 ,부산광역시 기장군 기장읍 석산리 293,24시간 이용가능,,100kW멀티,
환경부(한국자동차환경협회),기장군청,1,DC차데모+AC3상+DC콤보,부산광역시 ,기장군 ,기장읍 ,부산광역시 기장군 기장읍 기장대로 560(기장대로 560),24시간 이용가능,,50kW단독,
환경부(한국자동차환경협회),기장시장 공영주차장,1,DC차데모+AC3상+DC콤보,부산광역시 ,기장군 ,기장읍 ,부산광역시 기장군 대라리 70-1,24시간 이용가능,,100kW멀티,
환경부(한국자동차환경협회),기장현대드림볼파크,1,DC차데모+AC3상+DC콤보,부산광역시 ,기장군 ,일광읍 ,부산광역시 기장군 일광면 동백리 409,24시간 이용가능,,100kW멀티,
환경부(한국자동차환경협회),기장현대드림볼파크,11,DC콤보,부산광역시 ,기장군 ,일광읍 ,부산광역시 기장군 일광면 동백리 409,24시간 이용가능,,200kW멀티,
환경부(한국자동차환경협회),기장현대드림볼파크,12,DC콤보,부산광역시 ,기장군 ,일광읍 ,부산광역시 기장군 일광면 동백리 409,24시간 이용가능,,200kW멀티,
환경부(한국자동차환경협회),기장현대차드림볼파크,1,DC콤보,부산광역시 ,기장군 ,일광읍 ,부산광역시 기장군 일광면 동백리 425-1,24시간 이용가능,,100kW멀티,
환경부(한국자동차환경협회),기장현대차드림볼파크,2,DC콤보,부산광역시 ,기장군 ,일광읍 ,부산광역시 기장군 일광면 동백리 425-1,24시간 이용가능,,100kW멀티,
환경부(한국자동차환경협회),김해공항,1,DC차데모+AC3상+DC콤보,부산광역시 ,강서구 ,대저동,부산광역시 강서구 공항진입로 108,24시간 이용가능,,50kW단독,
환경부(한국자동차환경협회),김해공항,2,DC차데모+AC3상+DC콤보,부산광역시 ,강서구 ,대저동,부산광역시 강서구 공항진입로 108,24시간 이용가능,,50kW단독,
환경부(한국자동차환경협회),남산역 공영주차장,1,DC차데모+AC3상+DC콤보,부산광역시 ,금정구 ,남산동,"부산광역시 금정구 중앙대로 2030, 주차장 입구 정면(남산동 893-8)",24시간 이용가능,,50kW단독,
환경부(한국자동차환경협회),대저역 (대저차량기지) ,91,DC콤보,부산광역시 ,강서구 ,대저1동,부산광역시 강서구 대저1동 1619,24시간 이용가능,,100kW단독,
환경부(한국자동차환경협회),덕천 공영주차장,1,DC차데모+AC3상+DC콤보,부산광역시 ,북구 ,덕천동,부산광역시 북구 덕천동 457-1,24시간 이용가능,,100kW멀티,
환경부(한국자동차환경협회),동래역 공영주차장 ,1,DC차데모+AC3상+DC콤보,부산광역시 ,동래구 ,온천동,부산광역시 동래구 중앙대로 1324,24시간 이용가능,,50kW단독,
환경부(한국자동차환경협회),동원 공영주차장,1,DC차데모+AC3상+DC콤보,부산광역시 ,북구 ,만덕동,부산광역시 북구 만덕동 934,24시간 이용가능,,100kW멀티,
환경부(한국자동차환경협회),롯데마트 광복점,1,DC차데모+AC3상+DC콤보,부산광역시 ,중구 ,중앙동,부산광역시 중구 중앙대로2 (중앙동7가),10:00~23:00,,50kW단독,
환경부(한국자동차환경협회),롯데마트 동래점,1,DC차데모+AC3상+DC콤보,부산광역시 ,동래구 ,온천동,부산광역시 동래구 중앙대로 1393 (온천동),10:00~23:00,,50kW단독,
