행정구역(시군구)별,행정구역(동읍면)별,총인구수 (명),면적(km^2),인구밀도(km^2)
강서구,가덕도동,4081,19.42,210
강서구,가락동,2312,14.09,164
강서구,강동동,4179,16.31,256
강서구,녹산동,35872,58.93,609
강서구,대저1동,6417,13.66,470
강서구,대저2동,7033,27.11,259
강서구,명지1동,53827,12.4,4320
강서구,명지2동,30326,3.25,9340
금정구,구서1동,19430,1.07,18159
금정구,구서2동,32446,0.93,34888
금정구,금사회동동,7732,3.76,2056
금정구,금성동,1010,0.07,14429
금정구,남산동,28052,1.85,15163
금정구,부곡1동,8162,0.37,22059
금정구,부곡2동,17820,0.67,26597
금정구,부곡3동,15527,2.15,7222
금정구,부곡4동,12554,0.28,44836
금정구,서1동,5139,0.34,15115
금정구,서2동,9051,0.35,25860
금정구,서3동,11012,0.5,22024
금정구,선두구동,2294,3.87,593
금정구,장전1동,17976,0.79,22754
금정구,장전2동,26251,0.64,41017
금정구,청룡노포동,9717,4.84,2008
기장군,기장읍,52218,37.42,1395
기장군,일광읍,27610,35.76,719.7
기장군,장안읍,8457,33.1,255
기장군,정관읍,81429,34.56,2356
기장군,철마면,7822,22.56,347
남구,감만1동,12343,1.86,6636
남구,감만2동,6687,0.28,23882
남구,대연1동,15814,0.86,18388
남구,대연3동,32792,3.74,8768
남구,대연4동,12194,1.01,12073
남구,대연5동,16969,0.53,32017
남구,대연6동,15131,0.46,32893
남구,문현1동,13274,0.64,20741
남구,문현2동,8454,0.56,15096
남구,문현3동,16514,0.5,33028
남구,문현4동,8020,0.74,10838
남구,용당동,8185,0.82,9982
남구,용호1동,43721,1.23,35546
남구,용호2동,16533,0.86,19224
남구,용호3동,12038,0.79,15238
남구,용호4동,8446,0.63,13406
남구,우암동,12620,0.92,13717
동구,범일1동,11640,0.49,23755
동구,범일2동,7962,0.53,15023
동구,범일5동,4266,0.66,6464
동구,수정1동,4101,0.12,34175
동구,수정2동,9783,0.42,23293
동구,수정4동,3785,0.19,19921
동구,수정5동,5208,0.21,24800
동구,좌천동,11808,0.57,20716
동구,초량1동,5002,0.25,20008
동구,초량2동,5692,0.3,18973
동구,초량3동,13036,0.9,14484
동구,초량6동,5804,0.32,18138
동래구,명륜동,25187,1.27,19832
동래구,명장1동,13949,0.73,19108
동래구,명장2동,14619,0.84,17404
동래구,복산동,9245,0.56,16509
동래구,사직1동,10494,0.43,24405
동래구,사직2동,25953,0.94,27610
동래구,사직3동,17199,0.66,26059
동래구,수민동,32068,1.09,29420
동래구,안락1동,14232,0.78,18246
동래구,안락2동,26764,1.31,20431
동래구,온천1동,22406,0.97,23099
동래구,온천2동,24215,1.05,23062
동래구,온천3동,38160,1.24,30774
부산진구,가야1동,18981,0.5,37962
부산진구,가야2동,16659,1.54,10818
부산진구,개금1동,16714,0.51,32773
부산진구,개금2동,10782,0.29,37179
부산진구,개금3동,28397,0.98,28977
부산진구,당감1동,22737,0.27,84211
부산진구,당감2동,10208,0.55,18560
