구군,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,월 평균
강서구,"325,284.39","323,049.87","335,120.06","340,570.52","332,289.77","340,678.45","337,488.64","328,374.74","328,764.38","333,414.26","340,405.10","337,753.15","333,599.44"
금정구,"482,598.89","477,047.11","484,669.59","490,864.46","487,435.45","484,936.00","483,898.58","482,964.23","487,082.06","484,633.90","485,502.59","488,392.99","485,002.15"
기장군,"341,181.17","343,398.79","342,489.52","345,184.20","348,793.68","348,500.32","350,763.40","349,328.59","348,077.97","348,449.77","345,905.89","344,245.29","346,359.88"
남구,"539,072.58","526,693.91","524,611.67","524,961.53","526,758.54","531,078.89","529,810.42","530,199.16","531,658.35","525,870.37","528,106.40","531,610.18","529,202.67"
동구,"185,466.33","185,459.30","189,082.61","192,702.25","189,819.14","191,618.73","189,864.16","189,368.74","190,328.67","191,182.03","194,732.77","193,341.86","190,247.22"
동래구,"553,655.76","549,718.60","543,091.96","535,439.53","533,908.61","528,124.07","527,730.64","525,468.79","532,656.70","527,498.20","520,126.56","524,788.88","533,517.36"
부산진구,"757,261.10","760,742.04","760,212.63","761,728.33","765,460.09","764,636.01","759,638.81","754,837.78","763,942.81","761,731.75","763,818.34","768,957.14","761,913.90"
북구,"559,133.62","554,946.17","543,084.57","543,479.25","543,145.91","540,381.96","542,289.98","546,905.11","551,394.74","542,887.88","539,732.97","545,952.52","546,111.22"
사상구,"496,102.34","492,871.78","493,054.71","496,932.63","494,094.59","494,207.66","492,973.61","490,296.85","493,842.47","491,808.21","493,815.86","495,297.44","493,774.85"
사하구,"641,541.35","632,045.91","628,461.73","633,805.98","630,333.83","629,635.14","630,260.69","631,377.03","633,402.47","627,551.97","625,380.25","631,475.21","631,272.63"
서구,"244,816.18","247,144.65","246,832.32","249,028.55","245,968.42","232,053.80","230,458.90","229,377.92","228,929.31","225,006.09","222,113.90","223,835.54","235,463.80"
수영구,"339,989.93","335,887.41","345,588.95","358,682.04","356,153.28","344,222.04","345,425.50","342,987.83","342,228.84","340,723.32","340,813.55","345,960.31","344,888.58"
연제구,"394,132.20","390,539.12","393,604.79","396,276.36","394,296.80","399,403.98","401,469.81","400,414.71","398,036.79","395,250.20","398,436.74","401,486.80","396,945.69"
영도구,"248,178.99","246,981.20","242,904.23","243,650.92","245,374.40","244,196.20","243,830.89","244,457.54","244,665.84","242,981.94","241,042.77","240,790.94","244,087.99"
중구,"105,170.15","106,603.51","110,729.44","110,668.93","113,610.04","128,260.41","127,285.37","124,056.84","127,550.96","131,073.84","135,646.63","134,834.02","121,290.85"
해운대구,"867,047.22","871,849.92","858,675.53","862,845.41","867,445.21","867,936.68","875,772.89","871,029.74","864,691.10","864,549.71","863,913.89","878,342.31","867,841.63"
