설치장소,주소,급속충전기(대),지원차종
가평소방서,경기도 가평군 가평읍 대곡리 213-5,1,"SM3 Z.E,테슬라"
가평종합운동장,경기도 가평군 가평읍 대곡리 316,2,"BMW i3,스파크EV,볼트EV"
가평지사,경기도 가평군 가평읍 가화로 169-11,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
가평하수도사업소,경기도 가평군 가평읍 달전리 364,1,"SM3 Z.E,테슬라"
상면사무소,경기도 가평군 상면 연하리 171-1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
설악면사무소,경기도 가평군 설악면 신천리 156-1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
조종면사무소,경기도 가평군 조종면 현리 567-7,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
조종소방서,경기도 가평군 조종면 현리 413-20,1,"SM3 Z.E,테슬라"
청평소방서,경기도 가평군 청평면 하천리 284-5,1,"SM3 Z.E,테슬라"
청평호반문화체육센터,경기도 가평군 청평면 청평리 333-13,1,"SM3 Z.E,테슬라"
LH강남힐스테이트,서울특별시 강남구 자곡동 자곡로3길 21,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
LH서울지사,서울특별시 강남구 선릉로 121길 12,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
가람아파트,서울특별시 강남구 일원동 일원로 127,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
강남구청 공영주차장,서울특별시 강남구 삼성동 16-1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
강남데시앙파크,서울특별시 강남구 세곡동 헌릉로590길 63,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
강남데시앙포레,서울특별시 강남구 수서동 광평로34길55,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
강남세브란스 병원,서울특별시 강남구 언주로 211,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
강남아이파크,서울특별시 강남구 자곡동 자곡로 175,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
강남한신휴 플러스8단지,서울특별시 강남구 율현동 밤고개로27길 20,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
