추출정보,신설,증설,해지
건설업,127457,7024,84605
공공행정/ 국방 및 사회보장 행정,15982,36701,2288
광업,3985,2643,9101
교육 서비스업,6042,12486,5318
국제 및 외국기관,185,13,16
금융 및 보험업,3188,1392,497
농업/ 임업 및 어업,78004,25855,18395
도매 및 소매업,32032,26396,16434
보건업 및 사회복지 서비스업,8568,9585,2193
부동산업 및 임대업,273052,56546,48195
사업시설관리 및 사업지원 서비스업,12862,2138,8689
숙박 및 음식점업,32425,22582,16154
예술/ 스포츠 및 여가관련 서비스업,15073,5192,9328
운수업,35509,6456,4753
전기/ 가스/ 증기 및 수도사업,24388,2794,3143
전문/ 과학 및 기술 서비스업,8793,928,2701
제조업,286619,478887,146185
주택용,297619,29403,161023
출판/ 영상/ 방송통신 및 정보서비스업,13311,4955,6746
하수 · 폐기물 처리/ 원료재생 및 환경복원업,3495,2030,2440
협회 및 단체/ 수리  및 기타 개인 서비스업,15500,7760,7284
