충전소ID,충전소명,충전소주소,상세주소,위도,경도,이용가능시간,연락처
2891,역삼래미안,서울 강남구 역삼동 757,지하2층 107동 3-4라인,37.497198,127.050153,24시간,1899-2100
2892,현대까르띠에710아파트,서울 강남구 역삼동 710,지하주차장 진입 후 바로 좌측,37.50152205,127.0449314,24시간,1899-2100
2904,열매마을5단지,대전광역시 유성구 지족동 877,지하주차장,36.377466,127.319577,24시간,1899-2100
2906,서진아파트,경상남도 창원시 마산회원구 내서읍 상곡리 67,지하1층주차장,35.241641,128.50434,24시간,1899-2100
2907,팜스프링아파트,경기도 파주시 금촌동 7,119동 지하3층 B33,37.77181006,126.7752542,24시간,1899-2100
2909,홍제힐스테이트,강원도 강릉시 홍제동 1007,107동 지하2층주차장,37.750758,128.882388,24시간,1899-2100
2910,길음래미안3차,서울특별시 성북구 길음동 1283,"610동 지하3층 1,2호",37.606454,127.022261,24시간,1899-2100
2523,금산수삼센터주차장,충청남도 금산군 금산읍 중도리 22-25,금산수삼센터주차장,36.099027,127.496428,24시간,1899-2100
2372,금화마을주공4단지,경기도 용인시 기흥구 상갈동 금화로58번길 10,B1F C02,37.261945,127.11008,24시간,1899-2100
1924,호성동LG동아,전라북도 전주시 덕진구 호성동1가 718,110동 지하 주차장,35.855614,127.152241,24시간,1899-2100
1019,정릉e편한세상 아파트,서울특별시 성북구 정릉동 1028,B1층 109동 3-4호 A04기둥,37.614892,127.010221,24시간,1899-2100
1008,남산센트럴자이,서울특별시 중구 충무로4가 퇴계로 235,지하7층 주차장,37.56247,126.997827,24시간,1899-2100
2112,옥계면사무소,강원도 강릉시 옥계면 현내리 310,면사무소 주차장,37.612462,129.038121,09시~18시,1899-2100
2740,동부센트레빌5차,경기도 용인시 수지구 신봉동 신봉1로 214,B3F 25,37.33169,127.06624,24시간,1899-2100
561,kcc스위첸아파트,경기도 화성시 청계동 550,B2F B64,37.20205143,127.1175323,24시간,1899-2100
2047,상면사무소,경기도 가평군 상면 연하리 171-1,지상주차장,37.805091,127.357149,24시간,1899-2100
1549,송천우림 아파트,전라북도 전주시 덕진구 송천동1가 117,지하 주차장(구역 101동A1),35.862064,127.125648,24시간,1899-2100
