소재지(시군구)별(1),소재지(시군구)별(2),시설수 (개),면적 (㎡),시설수 (개),면적 (㎡),어항시설 시설수,어항시설 면적,마리나 시설수 (개),마리나 면적
전국,소계,815,177342042,294,115862177,518,61355982,3,123883
부산광역시,소계,141,6496481,94,6272291,46,221463,1,2727
부산광역시,부산광역시,127,6380904,90,6197159,37,183745,0,0
부산광역시,영도구,10,66629,2,57411,8,9218,0,0
부산광역시,해운대구,4,48948,2,17721,1,28500,1,2727
인천광역시,소계,15,17168849,15,17168849,-,-,-,-
인천광역시,인천광역시,15,17168849,15,17168849,0,0,0,0
울산광역시,소계,11,3397909,10,3385380,1,12529,-,-
울산광역시,울산광역시,11,3397909,10,3385380,1,12529,0,0
경기도,소계,14,3428723,8,3273023,5,117700,1,38000
경기도,평택시,4,3128270,4,3128270,0,0,0,0
경기도,안산시,1,129918,1,129918,0,0,0,0
경기도,시흥시,3,14835,3,14835,0,0,0,0
경기도,화성시,6,155700,0,0,5,117700,1,38000
강원도,소계,48,2708337,11,2000788,37,707549,-,-
강원도,강릉시,10,1338575,5,1284787,5,53788,0,0
강원도,양양군,9,185072,0,0,9,185072,0,0
강원도,속초시,4,368945,1,332771,3,36174,0,0
강원도,삼척시,12,424843,3,229722,9,195121,0,0
강원도,고성군,11,237394,0,0,11,237394,0,0
강원도,동해시,2,153508,2,153508,0,0,0,0
충청남도,소계,50,6929985,30,6309687,20,620298,-,-
충청남도,보령시,8,946097,8,946097,0,0,0,0
충청남도,서산시,13,1252852,7,1176395,6,76457,0,0
충청남도,서천군,7,614282,3,378949,4,235333,0,0
충청남도,태안군,9,273391,1,70800,8,202591,0,0
충청남도,당진시,13,3843363,11,3737446,2,105917,0,0
전라북도,소계,10,1919935,2,72467,8,1847468,-,-
전라북도,군산시,10,1919935,2,72467,8,1847468,0,0
전라남도,소계,157,57569614,73,33242491,84,24327123,-,-
전라남도,목포시,6,2236305,6,2236305,0,0,0,0
전라남도,여수시,26,907222,26,907222,0,0,0,0
전라남도,광양시,2,10978464,2,10978464,0,0,0,0
전라남도,고흥군,26,4474515,26,4474515,0,0,0,0
전라남도,장흥군,4,1301393,0,0,4,1301393,0,0
전라남도,보성군,1,26755,1,26755,0,0,0,0
전라남도,강진군,1,27800,1,27800,0,0,0,0
전라남도,해남군,13,2444700,2,248000,11,2196700,0,0
전라남도,영암군,3,316282,3,316282,0,0,0,0
전라남도,무안군,12,1307594,0,0,12,1307594,0,0
전라남도,함평군,1,3574839,1,3574839,0,0,0,0
전라남도,영광군,4,3698716,0,0,4,3698716,0,0
전라남도,완도군,27,13101039,1,4873377,26,8227662,0,0
전라남도,진도군,11,5138459,1,2642083,10,2496376,0,0
전라남도,신안군,20,8035531,3,2936849,17,5098682,0,0
경상북도,소계,12,3728375,7,2753906,4,891313,1,83156
경상북도,포항시,2,2481851,2,2481851,0,0,0,0
경상북도,영덕군,2,16023,1,1760,1,14263,0,0
경상북도,울진군,4,162415,3,79259,0,0,1,83156
경상북도,울릉군,4,1068086,1,191036,3,877050,0,0
경상남도,소계,326,53215907,37,26431455,289,26784452,-,-
경상남도,창원시,18,5366237,18,5366237,0,0,0,0
경상남도,통영시,22,3599346,2,58528,20,3540818,0,0
경상남도,사천시,1,430923,1,430923,0,0,0,0
경상남도,거제시,107,31167626,16,20575767,91,10591859,0,0
경상남도,고성군,64,3374671,0,0,64,3374671,0,0
경상남도,남해군,111,8985254,0,0,111,8985254,0,0
경상남도,하동군,3,291850,0,0,3,291850,0,0
제주특별자치도,소계,31,20777927,7,14951840,24,5826087,-,-
제주특별자치도,제주시,16,11257914,4,8150990,12,3106924,0,0
제주특별자치도,서귀포시,15,9520013,3,6800850,12,2719163,0,0
